"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"hydrochloric acid","HCl","","soutsuur","","","","","","ihayidroklorikhi asidi","i-HCI","","","ihayidroklorikhi esidi","","","","isidlavuzi sehayidrotlorikhi","ihayidrotlorikhi esidi","","asiti ya tlelorine","","","","esiti ya haeterotllelorikhi","","","","","esiti ya haetrotlelorini","","","esidi ya haiḓirokuḽoriki","dungi ḽa haiḓirokuḽoriki","","","","","hayidirotlilorikiasidi","","",""
"hydrogenation","","","hidrogenering","hidrogenasie","","","","","ukufaka ihayidrojini","","","","kufaka ihayidrojini","","","","ukufaka ihayidrojini","","","tshelohaederojene","","","","tšhelo ya haeterotšene","","","","","ho tshela haetrojene","","","nyinga haiḓirodzheni","","","","","","vuchelahayidirojeni","","",""
"hydrophilic <adj.>","","","hidrofilies","waterliewend","","","","","-nyibilika lula emanzini","","","","-munya kalula","","","","-ncibilika lula","ihayidrofilikhi","","-tlhaologonolometsing","","","","-ratago meetse","","","","","-ratang metsi","","","funamaḓi","","","","","","-rhandzaka mati","","",""
"hydrosoluble <adj.>","water soluble","","wateroplosbaar","","","","","","-nyibilika emanzini","","","","-ncibilika emantini","","","","-ncibilikako emanzini","","","-tlhaologometsing","","","","-tologago ka meetseng","","","","","-qhibidihang metsing","","","ṋokamaḓini","-ṋokiseamaḓini","","","","","-n'okaka ematini","","",""
"hygroscopic <adj.>","","","higroskopies","","","","","","-tsala ukufuma","","","","-dvonsamswakamo","-dvonsamhwamuko","","","-dosa umnyula emmoyeni","","","-monyomowa","","","","-monago meetse","","","","","-monyang mongobo moyeng","","","kokodzamuṋula","","","","","","-kokaka ndzhongo","","",""
"hyperglycaemia <Great Britain>","hyperglycemia","high blood sugar","hiperglukemie","hoë bloedsuiker","","","","","iswekile enyukileyo egazini","ihayipheglasemiya","","","luphakamoshukela engatini","","","","itjhukela ephezulu eengazini","","","sukirintsimading","","","","swikirintšhimadi","","","","","tswekere e hodimo haholo mading","","","swigiri ya nṱha malofhani","swigiri yo kalulaho malofhani","","","","","chukelahenhlangatini","","",""
"hyperlipidaemia <Great Britain>","hyperlipidemia","high blood cholesterol","hiperlipoïdemie","hiperlipidemie","","","","","amafutha agqithisileyo egazini","","","","emafutsa lamanyenti engatini","","","","amafutha amanengi eengazini","","","mafurantsimading","","","","makhurantšimadi","","","","","mafura a mangata mading","","","mapfura manzhi muvhilini","","","","","","talamafurhangatini","","",""
"hypoglycaemia <Great Britain>","hypoglycemia","low blood sugar","hipoglukemie","lae bloedsuiker","","","","","iswekile ehlileyo egazini","ihayiphoglasemiya","","","lwehloshukela engatini","","","","itjhukela ephasi eengazini","","","sukiritlasemading","","","","swikirifasemadi","","","","","tswekere e tlase mading","","","swigiri ya malofha i re fhasi","","","","","","chukelahansingatini","","",""
"hypotension","low blood pressure","","hipotensie","lae bloeddruk","","","","","uxinzelelo oluhlileyo egazini","ihayiphothenshini","","","umfutfongati lophasi","","","","umfutho weengazi ophasi","","","kgatelelomaditlase","","","","kgatelelofasemadi","","","","","kgatello e tlase ya madi","","","mutsiko wa fhasi malofhani","muombiso wa fhasi malofhani","","","","","ntshikelelahansingatini","","",""
"hypothalamus","","","hipotalamus","","","","","","ihayiphothalamasi","","","","ihayiphothalamasi","silawulikusimama kwemtimba","","","ihayiphothalamasi","","","haepothalamase","","","","haephothalamase","","","","","haephothalamase","","","haipothaḽamasi","","","","","","hayiphothalamasi","","",""
"hypoxia","","","hipoksie","suurstoftekort","","","","","ukusilela komongomoya kwizicwili","ihayiphoksiya","","","kungeneli kwe-oksijini emantfweshini emtimba","","","","ukutlhayela kwe-oksijini emathitjhwini","","","oksijenennyemethapong","","","","tlhaelelo ya okisitšene mmeleng","","","","","kgaello ya oksijene mmeleng","","","ṱhahalelo ya okisidzheni","","","","","","hungutekomoyatenga tithixwini","","",""
"hysterectomy","","","histerektomie","","","","","","ukukhutshwa kwesibeleko","","","","kukhishwa kwesibeletfo","","","","ukukhutjhwa kwesibeletho","","","ntshopopelo","","","","ntšhopopelo","","","","","ho ntshwa popelo","","","u bvisa mbumbelo","","","","","","ku susa xivelekelo","","",""
"hysteria","","","histerie","","","","","","ukuphaphazela","","","","lihabiya","emafufunyane","","","irhabiya","","","tshabophetelela","letshogophetelela","","","letšhogophetelelo","","","","","maikutlo a tswileng taolong","tshabo e tswileng taolong","","vhuhavhiya","","","","","","hariya","","",""
"immune response","","","immuunreaksie","","","","","","ukuzikhusela komzimba","","","","kutivikela kwemtimba","","","","ukuzilwela komzimba","ukuzivikela komzimba","","itwanelommele","itshireletsommele","","","boitwelomašolemmele","","go itwela ga mašole a mmele","","","boitwanelo ba masole mmeleng","","","tsireledzo nga maswole a muvhili","","","","","","ku tilwela ka miri","","",""
"immunity {medical}","","","immuniteit","","","","","","ukomelelela izifo komzimba","","","","kusawoteka","","","","ukugomeka","ukusowudeka","","itwanelo","itshireletso","","","thetelommele","","","","","boitshireletso ba mmele","","","thilo ya muvhili","","","","","","nsawuto","","",""
"implant <n.> {into the body}","","","inplanting","inplantaat","","","","","ichiza elisisifakelwamzimbeni","","","","sifakwamtimbeni","","","","isifakelwa","","","jalelo","","","","setsentšhwammeleng","","sebjalwammeleng","","","kenyo ya sesebediswa mmeleng","","","tshidzheniswamuvhilini","","","","","","xinghenisiwamirini","","",""
"indication {medication}","","","aanduiding","indikasie","","","","","imo evumelana nonyango","ungqinelwanoyeza nokugula","","","inhlosolunyango","sifo lesingelashwa","","","okuvumelana nobujamo","","","letshwao","tshupo","","","tšhupohlare","","","","","sesupo","letshwao","","thendelo ya u nwa mushonga","","","","","","xikombantirho xa murhi","","",""
"indigestion","dyspepsia","dyspepsy","slegte spysvertering","indigestie","dispepsie","","","","ukungacoleki kokutya","","","","kucumba","","","","ukubhinjidelwa","ukuqurhelwa","","pipitlelo","pipelo","","","go se šilege","","","","","pipitlelo","","","tshayatsukanyo","","","","","","nkampfuvelo","nkanghayelo","",""
"inert gas","noble gas","","inerte gas","edelgas","onreaktiewe gas","","","","igesi engatshintshi lula","","","","igesi lenganyakati","","","","irhasi engatjhugulukiko","","","gaseremileng","","","","kgasetšhikanoši","","kgasešomannosi","","","kgase e botswa","","","gese tshayatshinyadzi","","","","","","gasi ya inete","","",""
"infarct {dying or dead tissue}","","","infark","infarkt","infarksie","","","","isicwili esifileyo","","","","incenye yesitfo lefako","incenye yemtimba lefile","","","ukufa kwethitjhu","","","karolotogwasuleng","","","","go hwa ga dithišu","","lehuthišu","","","ho shwa ha thishu","","","tsikila dzo faho","tsikila dzi no khou fa","","","","","ku fa ka tithixu","","",""
"infective dose","ID","","infektiewe dosis","","","","","","umlinganiselontsholongwane odala usuleleko","","","","silinganisobanga lekwesuleleka","","","","isilinganiso esigulisako","","","mothamotshwaetso","","","","bokalotekanyophetetšo","","boelotekanyophetetšo","","","tekanyo e tshwaetsang","","","phimo ya tshitzhili tsha dwadze","","","","","","mpimamurhi wo vanga ntluletavuvabyi","","",""
"inflammation","","","inflammasie","ontsteking","","","","","ukukrala","","","","kuvuvuka","kudvumba","","","umqubukofutha","","","thurugo","","","","tšhatšhamelothurugo","","","","","borurusi","","","nzwimbo","","","","","","mpfimbo","ndzhumbelo","",""
"inhalation therapy","","","inasemterapie","inhalasieterapie","","","","","unyango ngokurhogela","","","","kwelapha ngekuhosha","kwelapha ngekuhogela","","","ukwelatjhwa ngokukhokha","ukwelatjhwa ngokurhogela","","kalafokhemo","","","","kalafokhemo","","","","","kalafo ka ho hema ka dikgase","phekolo ka ho hema ka dikgase","","dzilafho nga u fembedzela","","","","","","ntshungulo hi mphungula","ntshungulo hi ku orhela","",""
"inhalator","inhaler","","inhaleerder","inhalator","verstuiwer","","","","isirhogelisi","","","","sihoshisi","sihogelisi","","","isikhokhisi","isirhogelisi","","sehemisi","","","","sehemiši","","","","","sehemisi","","","tshifemisi","","","","","","xidzahisi","","",""
"initial dose","loading dose","","ladingsdosis","aanvangsdosis","","","","","umlinganiselo wokuqalisa unyango","umlinganiselo wokulinga unyango","","","silinganisomutsi sekucala","umtsamomutsi wekucala","","","isilinganiso sokuthoma","","","mothamo wa ntlha","tekanyetsamolemo sa ntlha","","","tekanyohlaretheo","","","","","tekanyo e qalang","tekanyo ya mantlha","","phimo ya u ranga ya mushonga","","","","","","mpimamurhi wa xidzi","mpimamurhi wa masungulo","",""
"injectable medicine","","","inspuitbare medisyne","inspuitmedisyne","","","","","iyeza elitofwayo","","","","umutsi wekujova","","","","isihlahla sokujova","isihlahla soku-enda","","molemotlhabo","setlharetlhabo","","","dihlarehlabelego","","","","","moriana o hlajwang","","","mushonga wa u ṱhavheliwa","","","","","","murhintlhavelo","","",""
"injection {process or act}","","","inspuiting","","","","","","ukutofa","ukuhlabela inaliti","","","kujova","","","","ukujova","uku-enda","","tlhabo","","","","tlhabelo","","","","","ho hlaba","","","u ṱhavhela","","","","","","ntlhavelo","","",""
"innocuous <adj.> {e.g. medicine}","harmless","","onskadelik","","","","","","-ngenabungozi","-ngalimaziyo","","","-ngenabungoti","-phephile","","","-nganangozi","-phephileko","","-sengkotsi","-phepa","","","-se nago kotsi","","","","","-bolokehileng","-seng kotsi","","sa vha khombo","tshayakhombo","","","","","-nkakhombo","-nkanghozi","",""
"in-patient care","","","binnepasiëntversorging","binnepasiëntsorg","hospitaalpasiëntversorging","hospitaalpasiëntsorg","","","ukunyangelwa esibhedlele","","","","kulashelwa esibhedlela","","","","ukwelatjhelwa esibhedlela","","","kalafelokokelong","","","","kalafelobookelong","","","","","tlhokomelo ya mokudi ya robaditsweng sepetlele","","","ndondolo ya mulwadze vhuongeloni","ndondolo ya mulwadze o valelwaho","","","","","vuongori bya muvabyilatiwa","vutshunguri bya muvabyilatiwa","nhlayiso wa muvabyilatiwa",""
"insomnia","","","slaaploosheid","slapeloosheid","insomnie","","","","ukuphuthelwa","","","","sifo sekungehlelwa butfongo","","","","ukuphilelwa","ukuhlubayela","","tlhobaelo","","","","bolwetšitlhobaelo","","","","","tlhobaelo","","","vhushayakhofhe","","","","","","nkelunkelu","","",""
"insulin","","","insulien","insuline","","","","","i-insulini","","","","i-insulini","","","","i-insulini","","","insulini","","","","insuline","","","","","insulini","","","insulini","","","","","","insulini","","",""
"integral dose {radiation}","","","totale dosis","volledige dosis","","","","","umlinganiselotshiso lomhlaza","","","","silinganisomutsi lesidzingekako","umtsamomutsi lodzingekako","","","isilinganiso esifunekako","isilinganiso esibekiweko","","mothamogotlhe","","","","tekanyohlaremokaphišo","","","","","tekanyo ya radieishene","","","phimondinganelo kha zwa radioḽodzhi","","","","","","mpimamatimba wa murhintsongiwo","mpimantamu wa murhintswongiwo","",""
"integrated care","","","geïntegreerde sorg","geïntegreerde versorging","","","","","indibanisela yonyango","","","","kwelapha lokuyinhlanganisela","","","","itjhejo lezokwelapha elihlanganyelweko","","","kalafi e e lomaganeng","kalafil e e lotagantsweng","","","kalafokopanetšwego","","kalafotsenelelano","","","kalafo e kopanetsweng","phekolo e kopanetsweng","","ndondoloṱhanganelwa","","","","","","vuongorinhlanganelo","vutshungurinhlanganelo","nhlayisonhlanganelo",""
"intensive care unit","critical care unit","","intensiewesorgeenheid","ISE","","","","","icandelo labakwimo emandundu","icandelo labakwimo exhalabisayo","","","ligumbi lalabagula kakhulu","","","","iwodi yabagula khulu","ikumba yabagula khulu","","lekala la kalafitsenelelo","yuniti ya kalafotsenelelo","","","yunitikalafotsenelelo","","","","","setsi sa ba kulang haholo","","","yuniti ya ndondolo ya shishi","","","","","","yunitiphulaniphulani","","",""
"intermediate <n.> {drug manufacturing}","","","tussenproduk","tussenstof","","","","","isithungelanisimveliso","","","","umkhicito longakapheleli","umkhicito longakaloyeli","","","isigaba esiphakathi sokukhiqiza","","","seregare","","","","khemikhalegarehlare","","","","","sehlahiswa se bohareng","","","thimbwanakati kha mveledziso ya mushonga","","","","","","vumakixikarhi","","",""
"intestinal infection","enteric infection","","intestinale infeksie","derminfeksie","ingewandsinfeksie","","","","usuleleko emathunjini","","","","kungenwa sifo sematfumbu","","","","ukusuleleka ngemathunjini","ukutshwayeleka ngemathunjini","","tshwaetsegomaleng","","","","phetetšomaleng","","tshwaetšomaleng","","","tshwaetso ka maleng","","","u rithea dangani","vhulwadze ha malani","","","","","ntlulelovuvabyi emarhumbyini","","",""
"intradermal <adj.> {e.g. an injection}","","","intradermaal","binnehuids","intradermies","","","","-tofa esikhumbeni","-hlaba inaliti esikhumbeni","","","-ngekhatsi esikhunjeni","","","","-ngesikhunjeni","","","-gare ga llagatlalo","","","","-gare ga dillaga tša letlalo","","","","","-ka letlalong","","","lukandani","","","","","","-ndzeni ka nhlonge","","",""
"intramuscular <adj.>","","","binnespiers","intramuskulêr","","","","","-tofa esihlunwini","-hlaba inaliti esihlunwini","","","-ngekhatsi emisipheni","","","","-emisipheni","-emisitjheni","","-gare ga mesifa","","","","-gare ga mešifa","","-gare ga digoba","","","-ka mosifeng","","","misiphani","","","","","","-ndzeni ka mpfimbi","","",""
"intravenous <adj.> {an injection}","","","binneaars","intraveneus","","","","","-tofa emthanjeni","-hlaba inaliti emthanjeni","","","-ngekhatsi emitsanjeni","","","","-ngemthanjeni","","","-garemeselomadi","","","","-gare ga ditšhika madi","","","","","-ka mothapong","-ka hara veine","","tsingani","","","","","","-ndzeni ka nsiha","","",""
"in vitro fertilisation","test-tube conception","IVF","in vitro-bevrugting","proefbuisbevrugting","","","","","ukuchumisela ngaphandle kwesibeleko","","","","kumitsisela eshubhini","","","","ukumithisela ngetjhubhini","","","kimisetsontle","","","","kimontlepopelo","","","","","kemolo e kantle ho popelo","","","u kolisa nga nnḓa ha mbumbelo","","","","","","nyimbisaxilaboratari","mithiselo ehandle ka xivelekelo","",""
"in vivo <adj.> {in a living organism}","","","in vivo","","","","","","-ngaphakathi kokuphilayo","","","","-ngekhatsi kulokuphilako","","","","-ngakokuphilako","-ngaphakathi kokuphilako","","-tekelelotsheding","","","","-mmeleng","","","","","-ka mmeleng","","","ḽiedza kha zwi no tshila","","","","","","-exihanywini","","",""
"iron {nutrition}","Fe","","yster","","","","","","iayoni","","","","i-ayoni","","","","i-ayoni","","","ayone","","","","ayone","","","","","ayone","","","ayoni","","","","","","ayoni","","",""
"irritable bowel syndrome","IBS","","prikkelbaredermsindroom","PDS","","","","","isigulo sokukhathaza kwesisu","i-IBS","","","mahlalakhona wesisu","sisuncelencele","","","ihlanganisela yamatshwayosifo wamathumbu","","","segopalwetseteng","","","","bolwetšitshwenyomala","","","","","sintromo ya tshitiso ka maleng","","","sinḓoromu i vhaisaho malani","sinḓoromu i vhaisaho dangani","","","","","ntlawa wa swikombetamavabyi swa le ndzeni","","",""
"ketone","","","ketoon","","","","","","ikhithoni","","","","ikhethoni","ihomoni leyakheka uma kushoda i-insulini","","","ikhithoni","","","khetone","","","","khethoune","","","","","khithoune","","","kithoni","","","","","","khithoni","","",""
"ketosis","","","ketose","","","","","","ikhithosisi","","","","ikhethosisi","kwakheka kwekhethoni uma kushoda iglukhosi","","","ikhithosisi","","","khethosisi","","","","khethosisi","","","","","khethosisi","","","kethosisi","","","","","","khithosisi","","",""
"kidney","","","nier","","","","","","intso","","","","inso","","","","iso","","","philo","","","","pshio","","","","","phio","","","tswio","","","","","","yinsu","","",""
"kidney stone","","","niersteen","","","","","","ilitye elisezintsweni","","","","litje lenso","","","","ilitjana leso","","","letlapanaphilo","","","","leswikanapshio","","","","","lejwana la phio","","","thombwana kha tswio","","","","","","ribyeyinswini","","",""
"kidney transplant","","","nieroorplanting","","","","","","ufakelontso","","","","kufakelwa inso","","","","ukufakelwa iso","","","jalelelophilo","","","","pšalollopshio","","","","","ho kenngwa phio","","","vhudzheniswatswio","","","","","","nsimulansimeko wa yinsu","","",""
"labile <adj.> {chemistry}","","","labiel","onstabiel","","","","","-buthathaka kwimo engeyoyayo","-ntengentenge","-alana nemo engeyoyayo","","-ngasimami","-ngahlaliseki","","","-ngakanzinzi","","","-fetofetogang","","","","-fetofetogago","","","","","-fetofetohang","","","shanduka ha khemikhala","","","","","","-cincaka hi ku olova","","",""
"lactic acid","","","melksuur","","","","","","isinkantsisi","ilakthikhi asidi","","","lokulatisako","i-esidi yemaphelekece","","","i-esidi yemisipha","","","esitilathiki","","","","esitilakithiki","","","","","esiti ya lakthiki","","","esidi ya ḽakithiki","dungi ya ḽakithiki","","","","","lakitikiasidi","","",""
"lactogen","","","laktogeen","","","","","","ilakthojini","","","","siphakatsisi","","","","isehlisibisi","ilakthojini","","sefetlhamašwi","lakhthojene","","","setšweletšamaswi","","lakhthotšene","","","lakthojene","","","homoni ya ṱhuṱhulamikando","ḽakithodzheni","","","","","xipfunetakendlamasi","lakithojeni","",""
"lactose","milk sugar","","laktose","melksuiker","","","","","iswekile yobisi","ilakthosi","","","ilakthosi","shukela welubisi","","","itjhukela yebisi","ilakthosi","","sukirimašwi","","","","swikirimaswing","","lakethose","lakethousu","","lakthouse","","","swigiri ya mafhi","ḽakithousu","","","","","chukelamasini","","",""
"lactose intolerance","","","laktose-intoleransie","laktoseonverdraagsaamheid","","","","","ukwaliwa lubisi","","","","kwaliwa ngushukela welubisi","kwaliwa yilakthosi","","","ukwaliwa yitjhukela yebisi","ukwaliwa yilakthosi","","kganosukirimašwi","","","","seilaswikirimaswi","","kganoswikirimaswi","","","ho hanwa ke lakthouse","","","u haniwa nga swigiri ya mafhi","u haniwa nga ḽakithodzheni","","","","","vualachukelamasini","","",""
"large simple trial","LST","","groot eenvoudige proef","","","","","","isampuli ebanzi yolingophando","isampuli enabileyo yophando","isampuli enkulu yophando","","lulingolunyango lolubanti","","","","ilingelelo elilula ngabanengi","","","tekelelo ya bontsi","","","","tekobathontšhi","","teko ya kgoparara","","","phuputsonolo ya bongata","","","ndingo yo leluwaho kha vhalwadze vhanzhi","","","","","","ndzingetoxitshungu wo olova","","",""
"larynx","","","larinks","strottehoof","","","","","ingqula","","","","ligilo","","","","igilo","","","kodukoma","menapekodu","","","kodu","","","","","kodu","","","gulokulo","","","","","","kholokholo","","",""
"latent heat","","","latente warmte","latente hitte","","","","","ubushushu obungatshintshiqondo","","","","kushisa lokwanele","kushisa lokudzingekile","","","umtjhiso orhwamukisako","","","mogotetlase","","","","phišoletšego","","","","","motjheso o sa fetoheng","","","mufhiso wo dzumbamaho","","","","","","rihisonkaswikombo","","",""
"latent period","incubation period","","latente periode","inkubasietydperk","","","","","ixesha lokufukama kwentsholongwane","","","","sikhatsi sekutifihla kwesifo","sikhatsi sekubhaca kwesifo","","","isikhathi sokuzifihla kwesifo","isikhathi sokuzifihla kobulwele","","pakakoatwatsi","","","","paka ya khukhušo ya bolwetši","","pakaletšegolwetši","pakakhutalwetši","","nako ya ho ipata ha tshwaetso","","","tshifhinga tsha musi vhulwadze vhu sa athu vhonala","tshifhinga tsha tshayatsumbadwadze","","","","","nkarhi wa nkaswikombeto","","",""
"laxative","laxant","","lakseermiddel","purgeermiddel","","","","","iyeza lokurhudisa","iyeza lokukhulula isisu","","","sihlambululisisu","sigijimisisisu","sishekisi","","isikhambisindeni","isigijimisindeni","","mothubiso","","","","setšhološi","","segofiši","","","sehlephisamala","","","tshirithadangani","tshishulusi","tshigubisi","","","","xichulukisi","xihlantswandzeni","xichunchandzeni","xihudisi {eswiharhini}"
"lead poisoning","","","loodvergiftiging","loodvergifting","","","","","ukutyhefwa yilothe","","","","kudla butsi bemthofu","","","","itjhefu yomthofi","","","tlholefatsothale","tlholefatsollota","","","mpholorodi","","","","","ho kudiswa ke loto","","","mulimo wa mutobvu","","","","","","nchefuhatoxikope","nchefuhatongwidi","nchefuhatomuthovhu",""
"lethal dose","fatal dose","","dodelike dosis","fatale dosis","letale dosis","","","","umlinganiselo onokubulala","","","","silinganisomutsi lesibulalako","umtsamomutsi lobulalako","","","isilinganiso esibulalako","","","mothamo o o bolayang","tekanyetsamolemo se se bolayang","","","tekanyohlarekotsikotsi","","","","","tekanyo e ka bolayang","","","phimotshifu ya mushonga","","","","","","mpimamurhi lowu dlayaka","","",""
"leukaemia <Great Britain>","leukemia","","leukemie","bloedkanker","","","","","umhlaza wegazi","ilukhimiya","","","umhlata wengati","umdlavuta wengati","ilukhemiya","","ikankere yeengazi","ilukhimiya","","kankeremadi","lukemia","","","kankeremadi","","lukhemia","","","mofetshe wa madi","kankere ya madi","lukhemia","ṱhahala ya malofha","ḽukhemia","khentsa ya malofha","khentsa ya malofha","","","mfukuzani ya ngati","mfukuzana ya mongo","lukhimiya",""
"ligand","","","ligand","","","","","","iligandi","","","","iligendi","","","","iligendi","","","sekgomarelakamogedi","linkente","","","sekgomarelafihlišamolaetša","","sekgomarelaseišamolaetša","","","laekente","","","tshinambatedzi tsha phurotheini","","","","","","xidamarhelaphurotheni","","",""
"linctus","","","linktus","","","","","","iyeza lokhohlokhohlo olomileyo","ilinkthasi","","","umutsi wekukhwehlela","ilinkthasi","","","umhlobo wesihlahla sokukhohlela","ilinkthasi","","seokobatsakgotlholo","","","","linkithase","","","","","linkthase","","","mushonga wa u hoṱola","ḽinkithosu","","","","","murhi wa mukhuhlwanamikolo","","",""
"liver","","","lewer","","","","","","isibindi","","","","sibindzi","","","","isibindi","","","sebete","","","","sebete","","","","","sebete","","","tshivhindi","","","","","","xivindzi","","",""
"local anaesthesia <Great Britain>","local anesthesia","","plaaslike verdowing","","","","","","ukudoma indawo","","","","sidzambisimiva esitfweni lesitsite","","","","ukudambisa imizwa yesitho","","","kidibatsakarolwana","","","","seidibatšalefelwanammele","","","","","sethethefatsi sa karolwana ya mmele","","","tshidzidzivhadzitshapo","","","","","","xidzidzihataxirho","","",""
"long-term care","LTC","","langtermynversorging","langtermynsorg","","","","","ukongiwa kwexesha elide","","","","lwelapho lwesikhatsi lesidze","","","","itlhogomelo lesikhathi eside","itjhejo lesikhathi eside","","tlhokomelopakaleele","","","","tlhokomelonakotelele","","","","","tlhokomelo ya nako e telele","","","ṱhogomelo ya tshifhinga tshilapfu","","","","","","vuongori bya nkarhi wo leha","vutshunguri bya nkarhi wo leha","nhlayiso wa nkarhi wo leha",""
"lozenge","","","suigtablet","suigpil","","","","","ipilisi emuncwayo","ilozenji","","","simunyelwamphimbo","liphilisi lemphimbo","ilozenji","","ipilisi lomphimbo","iswidi lomphimbo","","selogetsamometso","","","","philisimonwa","","losentše","","","pidisi e momonwang","lozenje","","tshimuṋwa tshiṱuku tsha mukhuswane","","","","","","ximunyungelwa xa mikolo","","",""
"lymphatic system","","","limfstelsel","limfatiese stelsel","","","","","inkqubo yeemvulaphu yokhuselomzimba","","","","luhlelomantfweshu lolukhipha kungcola naboshevu emtimbeni","luhlelolimfu","","","irherho lokuzihlambulula komzimba","","","keledisothere","","","","mohwapeakanyotaololemifi","","","","","taolo ya disele tse thusang tshireletso","","","nḓ ila ya u bvisa maḓ i a malofha","sisṱeme ya ḽimpfi","","","","","sisiteme ya matana ya ngati","","",""
"magnesium {nutrition}","Mg","","magnesium","","","","","","imagneziyam","","","","imagneziyamu","","","","imagneziyamu","","","makenisiamo","","","","makenesiamo","","","","","maknesiamo","","","magineziamu","","","","","","magineziyamu","","",""
"magnesium stearate","","","magnesiumstearaat","","","","","","imagneziyam stereyithi","","","","sitsambisiphilisi","","","","imagneziyamstireyithi","","","setereitimakenisiamo","thapisomakenesiamo","","","makenesiamosetereiti","","","","","stereite sa maknesiamo","","","magineziamu siṱereithi","","","","","","xirhetisaphilisi","","",""
"maintenance dose","maintenance dosage","","instandhoudingsdosis","","","","","","umlinganiselo wolondolozonyango","","","","silinganisomutsi sekugcina bunjalo bemtimba","silinganisomutsi sekusimamisa umtimba","silingananisomutsi lesidzingeka emtimbeni","","isilinganiso sokulonda umzimba","","","mothamotsweletso wa kalafi","","","","tekanyetšohlaretaolo","","","","","tekanyo ya tsitsiso","","","phimondinganyiso","","","","","","mpimamurhinhlayiso","","",""
"malignant <adj.>","","","kwaadaardig","maligne","","","","","unwenoseli olunobungozi","","","","-nebungoti","-nekubulala","","","-bukhali","-bulalako","","-etegelang","-topegelang","","","-kotsi","","","","","-kotsi","","","khombo","shushaho","maḽiginethe","","","","-khombo","","",""
"manganese {nutrition}","Mn","","mangaan","","","","","","imanganizi","","","","imanganisi","","","","umagazini","","","mankanise","","","","mankanese","","","","","mankanisi","","","manganisi","","","","","","manganizi","","",""
"maternity hospital","","","kraamhospitaal","kraaminrigting","","","","","isibhedlele sokubelekisa","","","","sibhedlela sekubelekela","","","","isibhedlela sokubelethisa","","","kokelobaimana","","","","bookeloimana","","","","","sepetlele sa boimana","","","sibadela tsha vhaimane","","","","","","xibedhlelevuyimana","","",""
"mechanistic study","","","meganistiese studie","","","","","","uphononongosigulane ngeyeza","","","","lucwaningosigulane ngemutsi","","","","irhubhululo ngesifo nofana ngesigulani","","","patlisisolwetse","","","","nyakišišolwetšihlare","","","","","phuputso ya lefu ka moriana","","","ngudo ṱhoḓulusa vhulwadze","","","","","","ndzavisisavuvabyi hi murhi","ndzavisisamatirhelo ya miri hi murhi","",""
"medical condition","","","mediese toestand","","","","","","isigulo","","","","kugula","","","","ukugula","","","maemopholo","maemobolwetse","","","seemophelo","","seemokalafo","","","bokulo","","","nyimele ya vhulwadze","","","","","","vuvabyi","","",""
"medical record","","","mediese rekord","","","","","","irekhodi yesigulane","","","","lirekhodi lesigulane","","","","irekhodi lesiguli","","","rekotokalafi","tshedimosetsokalafi","","","rekhotobolwetši","","","","","rekoto ya kalafo","","","rekhodo ya dzilafho","","","","","","rhekhodo ya swa vutshunguri","","",""
"medical waste","","","mediese afval","","","","","","inkunkuma yezonyango","","","","imfucuta yetekwelapha","imfucumfucu yetekwelapha","","","okulahlwako kezokwelatjhwa","","","leswe la kalafi","dilatlhwa tsa kalafi","","","dilahlwakalafo","","","","","dilahlwa tsa bongaka","","","malaṱwa a zwa ngalafho","","","","","","malakatsa ya swa vutshunguri","","",""
"medication adherence","","","medikasiegetrouheid","","","","","","ukulandela imigqaliselo yonyango","","","","kulandzela timiso tekwelashwa","","","","ukulandela imilayelo ngesihlahla","ukulandela iinqintelo ngesihlahla","","kobamelokalafi","tatelokalafi","","","go latela taelelohlare","","tatelonaneohlare","","","ho tshepahalla moriana","","","u tevhela mulayo wa zwa ngalafho","","","","","","ndzandzelelamatirhiselo ya murhi","","",""
"medication compliance","","","medikasievoldoening","medikasienakoming","","","","","ukuthobela imigqaliselo yonyango","","","","kutfobela imiyalo yekwelapha","kutfobela timisokwelapha","kutfobela timisolunyango","","ukuthobela imilayelo yesihlahla","ukuthobela iinqintelo ngesihlahla","","tatelotaelokalafi","tiragatsokalafi","","","kobamelotšhomišohlare","","","","","ho latela ditaelo tsa meriana","","","u tevhedza dzilafho ḽo randelwaho","","","","","","ndzandzelelo wa vutshunguri","","",""
"medication persistence","","","medikasievolhouding","","","","","","ukubambelela kunyango","","","","budze bekwelapha","","","","isikhathi esibekelwe ukwelatjhwa","ubude besikhathi sokwelatjhwa","","pakakalafo","","","","pakatšhomišohlare","","","","","mamello nakong ya kalafo","mamello nakong ya phekolo","","tshifhinga tsho vhetshelwaho dzilafho","","","","","","mphikelelontirhiso wa murhi","","",""
