"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"majority","majority vote","","","","meerderheid","","","","","ubuningi","","","isininzi","","","linyenti","","","","ubunengi","","","","bontsi","","","","bontši","","","bongata","","vhunzhi","","","","vunyingi","","",""
"majority party","","","","","meerderheidsparty","","","","","iqembu elinezihlalo eziningi","","","iqela elinezihlalo ezininzi","","","licembu lelinetihlalo letinyenti","","","","ihlangano yenengi","","","","lekoko la bontsi","","","","mokgatlo wa bontši","","","mokgatlo wa bongata","","ḽihoro ḽi re na madzulo manzhi","","","","vandla ra switulunyingi","","",""
"majority principle","majority rule","","","","meerderheidsbeginsel","","","","","umgomo weningi","","","inkqubo yolawulo yesininzi","","","umgomo welinyenti","","","","ikambisolawulo yenengi","","","","molawana wa bontsi","","","","molawana wa bontši","","","molawana wa ba bangata","","mulayo wa vhunzhi","","","","nawu wa vunyingi","","",""
"malapportionment","unequal representation","","","","wantoedeling","","","","","ukwabiwa kwabavoti okungalingani","","","ukungalingani kwamanani abavoti ngokweengingqi","","","kusabalala kwemavoti ngekungalingani","","","","ukujameleka okungalinganiko","","","","kabotlhokatekatekano","","","","go se lekalekane ga bakgethi","","","kabo e sa lekalekaneng","","vhuimeleli vhu sa lingani","","","","vuyimerinkandzingano","","",""
"mandate","","","","","mandaat","","","","","igunya","","","igunya lokuphumeza okuthile","igunya lokufezekisa okuthile","","ligunya","emandla","","","igunya","amandla wokwenza","","","taolelo","","","","taelelo","","","taelo","","ndaela","","","","mpfumelelo","","",""
"manifesto","manifest","","","","manifes","","","","","umkhombandlela","","","uluhlu lwezithembiso kugayo-voti","imanifesto","","sichasiso senchubo yelicembu","imanifesto","","","iinthembiso zamakhetho","imanifesto","","","manifesto","lokwaloikemisetso","","","manifeseto","maikemišetšomagolo a mokgatlo","","manifesto","","manifesiṱo","pfulufhedziso","","","tsalwa ra switshembiso ra vandla","manifesito","",""
"manufactured majority","","","","","gefabriseerde meerderheid","","","","","ubuningi obungenele","","","ukuphumelela ivoti ngongciphu","","","kuphumelela ngelinyeti lelingenelisi","","","","ubunengi obakhiweko","","","","bontsi - itlhamelo","","","","bontši bja boitlhamelo","","","bongata ba maiketsetso","","vhunzhi ho vhekanywaho","","","","vunyingi byo endliwa","","",""
"march {an organised protest}","","","","","optog","","","","","umvivo","imashi","","umngcelele","","","umshuco","imashi","","","imatjhi","igaselo","igatjhelo","","mogwanto","","","","mogwanto","","","mohwanto","","mumatsho","","","","machi","","",""
"mayor","","","","","burgemeester","","","","","usodolobha","imeya","","usodolophu","","","sodolobha","imeya","","","usodorobha","umeya","","","ramotse","meyara","","","meyara","","","majoro","","meyara","","","","meyara","","",""
"Member of Parliament","MP","","","","Lid van die Parlement","LP","","","","Ilungu Lephalamende","","","iLungu lePalamente","","","Lilunga Lephalamende","","","","ilunga lepalamende","i-MP","","","MP","Mopalamente","Tokololo ya Palamente","","Leloko la Palamente","MP","","Setho sa Palamente","","MP","Muraḓo wa Phalamennde","","","Xirho xa Palamende","MP","",""
"Member of the Executive Council","MEC","","","","Lid van die Uitvoerende Raad","LUR","","","","Umphathiswa","Ilungu Lomkhandlu Ophethe","u-MEC","uMphathiswa wePhondo","u-MEC","","Umphatsiswa","i-MEC","Lilunga Lemkhandlu Lophetse","","u-MEC","usomkhandlu","","","MEC","Mokhuduthamaga","","","Molekgotlaphethiši","","","Setho sa Lekgotla la Phethahatso","MEC","MEC","Muraḓo wa Khorotshitumbe","","","Xirho xa Huvonkulu","MEC","",""
"metropolitan area","","","","","metropolitaanse gebied","","","","","indawo yedolobhakazi","","","ummandla kamasipala ombaxa","","","indzawo yelidolobha lelikhulu","","","","indawo yedorobha elikhulu","","","","toropokgolo","","","","lefelo la metropholithene","","","sebaka sa metropholithene","","ḓorobo khulwane","","","","ndhawu ya dorobankulu","","",""
"metropolitan council","","","","","metropolitaanse raad","","","","","umkhandlu wedolobhakazi","","","ibhunga likamasipala ombaxa","","","umkhandlu welidolobha lelikhulu","","","","umkhandlu wedorobha elikhulu","","","","lekgotlatoropokgolo","","","","khantshele ya metropholithene","","","khansele ya metropholithene","","khoro ya ḓorobo khulwane","","","","khansele ya dorobankulu","huvo ya dorobankulu","",""
"metropolitan municipality","","","","","metropolitaanse munisipaliteit","","","","","umasipala wedolobhakazi","","","umasipala ombaxa","","","umkhandludolobha welidolobha lelikhulu","masipaladi welidolobha lelikhulu","","","umasipaladi wedorobha elikhulu","","","","mmasepala wa toropokgolo","","","","mmasepala wa metropholithene","","","masepala wa metropholithene","","masipala wa ḓorobo khulwane","","","","masipala wa dorobankulu","","",""
"minimum voting age","","","","","laagste stemouderdom","","","","","iminyaka yobudala yokuqala ukuvota","","","ubuncinane bobudala obuvumelekileyo bokuvota","","","buncane bekugcina beminyaka yekuvota","","","","ubuncani beminyaka yokuvowuda","","","","dingwaga tsa go tlhopha","dingwaga tsa go vouta","","","mengwaga ya tlase ya maloka a go bouta","","","dilemo tsa ho qala ho kgetha","","miṅwaha ya u vouta ya fhasisa","miṅwaha ya u khetha ya fhasisa","","","malembe ya le hansi yo hlawula","malembe ya le hansi yo vhota","",""
"minister","","","","","minister","","","","","ungqongqoshe","","","umphathiswa","","","indvuna yelitiko","","","","ungqongqotjhe","","","","tona","","","","tona","","","letona","","minista","","","","holobye","","",""
"MINMEC {forum for national minister and his provincial colleagues, e.g. for local government}","","","","","MINMEC","","","","","i-MINMEC","Isigungu Sikangqongqoshe Nongqongqoshe Bezifundazwe","","i-MINMEC","","","i-MINMEC","Sigungu Sendvuna yelitiko Nebaphatsiswa Betifundza","","","i-MINMEC","","","","Lekgotla la Ditona","MINMEC","","","MINMEC","foramo ya tona le maloko phethiši","","MINMEC","","MINMEC","","","","MINMEC","Nhengeletano ya Holobye na swirho swa Huvonkulu","",""
"minor irregularity","","","","","geringe onreëlmatigheid","","","","","iphutha elinomthelela omncane","","","ukuphuma emgaqweni okungephi","","","liphutsa lelincane","liphutsa lelingasho lutfo","","","umtjhapho omncani","","","","phoswana","","","","phošo ye nnyane","","","phoso e nnyane","","vhukhakhi vhuṱuku","","","","xihoxo xitsongo","","",""
"minority rule","","","","","minderheidsregering","","","","","ukubusa kwedlanzana","","","ulawulo lwegcuntswana","","","kubuswa lidlanzana","","","","umbuso wedlanzana","","","","taolo ka palopotlana","","","","pušo ya ba bannyane ka palo","","","mmuso wa bonnyane","","muvhuso wa vhaṱuku","","","","nawu wa vuntsongo","","",""
"mixed number proportion","","","","","gemengde getalleproporsionele stelsel","","","","","isibalo sezihlalo esixubile","","","inkqubo yokudityaniswa kwabagqatswa abonyulwe kwiinkalo ezahlukeneyo","","","inhlanganisela yekukhetsa ngalokulingene","","","","ingcenye yenanimvango","","","","kaboditulo ka palotswako","","","","mekgwatekatekanelo ya dipalo ye e hlakanego","","","tekanyetso ya palo e kopanetsweng","","kuavhele kwa madzulo kwa ṱhanganyiso","","","","ndzinganiso wa nhlayonkatsakanyo wa switulu","","",""
"mixed voting station","","","","","nierassige stemlokaal","","","","","isikhungo sokuvota esingumahambanendlwana","","","isikhululo sovoto esingakhethe bani","","","siteshi sekuvota setinhlanga tonkhe","","","","isitetjhi sokuvowudela sobuhlanga boke","","","","seteišenetlhophokopanelo","","","","setiši sa go bouta sa mohlakanelwa","seteišene sa go bouta sa mohlakanelwa","","setsi sa ho kgetha se kopanetsweng","","tshiṱitshi tsha mirafho","","","","xitichi xo hlawulela xa tinxaka hinkwato","xitichi xo vhotela xa tinxaka hinkwato","",""
"mobile voting station","mobile polling station","","","","mobiele stemlokaal","","","","","isikhungo sokuvota esingumahambanendlwana","","","isikhululo sokuvotela esingumahamba nendlwana","","","siteshi sekuvota lesingumahambanendlwana","","","","isitetjhi sokuvowudela esingumakhamba ngendlwana","","","","seteišenetlhophotshuto","","","","setiši sa go bouta sa go thetha","seteišene sa go bouta sa go thetha","","setsi sa ho kgetha se suthiswang","","tshiṱitshithendeleki tsha u voutela","tshiṱitshithendeleki tsha u khethela","","","xitichi xo hlawulela lexi fambafambaka","xitichi xo vhotela lexi fambafambaka","",""
"mobilise","","","","","mobiliseer","","","","","ukuvukuza","","","ugayo-nkxaso","","","nyakatisa","faka umoya","khutsata","","-tjhotjhozela","","","","tlhotlheletsa","","","","go goketša","","","-thaotha","","kunga","","","","kucetela","","",""
"motion of no confidence","vote of no confidence","","","","mosie van wantroue","","","","","isiphakamiso sokungethembi","ukuzwakalisa ukungethembi","","isindululo sokungathembi","isiphakamiso sokungathembi","","siphakamiso sekungasetsembi","","","","isitjhukumiso sokungasathembi","","","","tshitshinyo ya botlhoka tshepo","tshitshinyo ya botlhoka boikanyego","","","tšhišinyo ya go hloka tshepo","","","tshisinyo ya ho hloka tshepo","","ḽikumedzwa ḽa tshayavhufulufheli","","","","kungu ra nkalantshembo","","",""
"multimember district","","","","","meerledige distrik","","","","","isifunda esinamalungu amaningi ephalamende","","","isithili esinamalungu epalamente amaninzi","","","sigodzi semalunga lamanyenti","","","","isiyingi esinamalunga amanengi epalamende","","","","kgaolo ya malokomantsi","","","","selete sa malokomantši","","","setereke sa ditho tse ngata","","tshiṱiriki tshi re na miraḓo minzhi","","","","xifundza xa swirhonyingi","","",""
"multiparty democracy","plural democracy","","","","veelpartydemokrasie","","","","","intando yabantu emaqembuqembu","","","ulawulo lwamaqela awahlukeneyo","","","intsandvo yelinyenti yetinhlangano letinyenti","","","","idemokhrasi yeenqhemaqhema","","","","demokerasi ya makokomantsi","temokerasi ya makokomantsi","","","temokerasi ya mekgatlontši","","","demokerasi ya mekga e mengata","","dimokhrasi ya mahoro manzhi","","","","mavandlanyingi","","",""
"multiparty system","","","","","veelpartystelsel","","","","","uhlelo olumaqembuqembu","","","inkqubo yamaqela awahlukeneyo","","","luhlelo lolunemacembu lamanyenti","","","","irherho leenqhema ezinengi","","","","thulaganyo ya makokomantsi","","","","tshepetšo ya mekgatlontši","","","tsamaiso ya mekga e mengata","","sisteme ya mahoro manzhi","","","","sisiteme ya mavandlanyingi","","",""
"municipal council","","","","","munisipale raad","","","","","umkhandlu kamasipala","","","ibhunga likamasipala","","","umkhandlu wamasipaladi","","","","umkhandlu kamasipaladi","","","","khansele ya mmasepala","lekgotla la mmasepala","","","khantshele ya mmasepala","","","khansele ya masepala","","khoro ya masipala","","","","huvo ya masipala","khansele ya masipala","",""
"municipal elections {local government elections}","","","","","munisipale verkiesing","","","","","ukhetho lomasipala","","","unyulo loomasipala","","","lukhetfo lwabomasipaladi","lukhetfo lwabohulumende basemakhaya","","","amakhetho kamasipaladi","","","","ditlhopho tsa bommasepala","","","","dikgetho tša mmasepala","","","dikgetho tsa masepala","","khetho dza masipala","","","","nhlawulo wa masipala","","",""
"Municipal Electoral Officer","MEO","","","","munisipale kiesbeampte","","","","","Isiphathimandla Sokhetho Lukamasipala","","","iGosa loNyulo lukaMasipala","","","Umphatsi Wetelukhetfo Kumasipaladi","","","","isiPhathiswa sezamaKhetho kaMasipaladi","i-MOE","","","Motlhankedi wa Ditlhopho tsa Bommasepala","MDBMEO","","","Mohlankedi wa Dikgetho tša Mmasepala","MEO","","Mohlanka wa Dikgetho tsa Masepala","","Muofisiri wa Khetho kha Masipala","MEO","","","Muofisiri wa Nhlawulo wa Masipala","","",""
"municipality","local government","","","","munisipaliteit","plaaslike regering","","","","umasipala","","","umasipala","urhulumente weengingqi","","masipaladi wendzawo","hulumende wasekhaya","umkhandludolobha","","umasipaladi","urhulumende wendawo","","","mmasepala","pusoselegae","","","mmasepala","mmušo wa selegae","","masepala","","masipala","muvhusowapo","","","masipala","mfumo wa muganga","",""
"National Assembly","NA","","","","Nasionale Vergadering","NV","","","","Isishayamthetho Sikazwelonke","","","iNdlu yoWiso-mthetho yeSizwe","","","Libandla Lavelonkhe","i-NA","","","i-NA","isiBethamthetho seNarha","","","NA","Kokoano Bosetšhaba","Kokoanotheomolao ya Bosetšhaba","","Lekgotla la Maloko a Palamente","NA","","Lekgotla la Ketsamolao la Naha","","Buthano ḽa Lushaka","NA","","","Huvo ya Rixaka","NA","",""
"national ballot paper","","","","","nasionale stembrief","","","","","iphepha lokuvota kuzwelonke","","","iphepha lokuvotela urhulumente wesizwe","","","liphepha lekuvota lavelonkhe","","","","iphepha lokuvowuda lenarha","","","","pampiritlhopho ya bosetšhaba","","","","pampiri ya go kgetha ya bosetšhaba","","","pampiri ya balote ya naha","","bammbiri ḽa u voutela ḽa lushaka","bammbiri ḽa u khethela ḽa lushaka","","","phepha ro hlawulela ra rixaka","phepha ro vhotela ra rixaka","baloto ya rixaka",""
"National Council of Provinces","NCOP","","","","Nasionale Raad van Provinsies","NRP","","","","Umkhandlu Wezifundazwe Kazwelonke","","","IBhunga lamaPhondo leSizwe","i-NCOP","","Umkhandlu Wetifundza Wavelonkhe","i-NCOP","","","umKhandlu weemFunda","umKhandlu wamaPhrovinsi","","","Lekgotla la Bosetšhaba la Diporofense","","","","Lekgotla la Setšhaba la Diprofentshe","Lekgotla la Setšhaba la Diprofense","","Lekgotla la Naha la Diprovense","NCOP","NCOP","khoro ya Lushaka ya Mavundu","","","Huvo ya Rixaka ya Swifundzankulu","","",""
"national elections","national ballot","","","","nasionale verkiesing","","","","","ukhetho lukazwelonke","","","unyulo lukazwelonke","","","lukhetfo lwavelonkhe","","","","amakhetho wenarha","amakhetho welizwe","","","ditlhopho tsa bosetšhaba","","","","dikgetho tša bosetšhaba","","","dikgetho tsa naha","","khetho dza lushaka","","","","nhlawulo wa rixaka","","",""
"national government","","","","","nasionale regering","","","","","uhulumeni kazwelonke","","","urhulumente wesizwe","undlunkulu","","hulumende wavelonkhe","","","","urhulumende welizwe","","","","puso ya bosetšhaba","","","","mmušo wa bosetšhaba","","","mmuso wa naha","","muvhuso wa lushaka","","","","mfumo wa rixaka","","",""
"national legislature","","","","","nasionale wetgewer","","","","","isishayamthetho sikazwelonke","","","indlu yowiso-mthetho yesizwe","","","sishayamtsetfo savelonkhe","","","","isibethamthetho senarha","isibethamthetho selizwe","","","peomolao ya bosetšhaba","","","","lekgotlatheramelao la bosetšhaba","","","lekgotla la ketsamelao la naha","","vhusimamilayo ha lushaka","","","","palamende ya rixaka","","",""
"national voters’ list","national voters’ roll","","","","nasionale kieserslys","","","","","uhlu lwabavoti lukazwelonke","","","uluhlu lwabavoti lwesizwe","uluhlu lwabavoti lukazwelonke","","luhlu lwebavoti lwavelonkhe","","","","irhelo labavowudi lenarha","","","","lenaane la batlhophi la bosetšhaba","","","","lenaneo la bakgethi la bosetšhaba","","","lenane la bakgethi la naha","","mutevhe wa vhakhethi wa lushaka","mutevhe wa vhavouti wa lushaka","","","nxaxamelo wa vahlawurri wa rixaka","nxaxamelo wa vavhoti wa rixaka","",""
"nominate","","","","","nomineer","benoem","","","","ukuphakamisa","","","tyumba","chonga","phakamisa igama","phakamisa","enyula","","","-nyula","-phakamisa","","","tlhagisa","","","","hlaola","","","-thonya","","-ta","nanga","","","hlawula","langha","",""
"nomination","","","","","nominasie","benoeming","","","","ukuphakamisa","","","phakamisa igama","","","kwenyula","kuphakamisa","","","ukwenyula","ukuphakamisa","","","tlhagiso","","","","tlhaolo","","","thonyo","","u ta","u nanga","","","ku hlawula","ku langha","",""
"nomination day","","","","","nominasiedag","benoemingsdag","","","","usuku lwabaphakanyiswa","","","usuku lokutyumba","usuku lokuphakamisa amagama","","lilanga lekwenyula","lilanga lekuphakamisa","","","Ilanga lokwenyula","Ilanga lokuphakamisa","","","letsatsi la ditlhagiso","","","","letšatši la tlhaolo","","","letsatsi la ho thonya","","ḓuvha ḽa u nanga","ḓuvha ḽa u ta","","","siku ro boxa mavito ya vayimelakulanghwa","","",""
"non-partisan","","","","","onpartydige","","","","","ongaseki qembu","","","ongaxhasi qela","","","longavunicembu","","","","ongazibandakanyi kezepolotiki","","","","motlhokamokgatlho","mosaikabe","","","kemanoši","","","lejelathoko","","mushayasia","","","","xikalatlhelo","","",""
"non-racialism","","","","","nierassigheid","","","","","ukungacwasi ngokobuhlanga","","","ukungacalu-caluli","","","kungahambisani nelubandlululo ngekwebuhlanga","","","","ukungabandlululi ngokobuhlanga","","","","tlhokakgetholololotso","","","","go se kgetholle ka mmala","","","-se kgetholle ka morabe","","-sa khethululi","","","","nkaxihlawuhlawu","","",""
"non-South African citizen","","","","","nie-Suid-Afrikaanse burger","","","","","ongesona isakhamuzi saseNingizimu Afrika","","","ongengommi woMzantsi Afrika","","","sakhamuti lesingumchamuki","sakhamuti lesisacubile","","","iphandle","","","","mo e seng Moaforikaborwa","","","","wa go se be Moafrika Borwa","motšwantle","","molata","","mubvannḓa","","","","muhlampfa","","",""
"notice of objection form","NOO","","","","kennisgewing van beswaar","","","","","ifomu lesaziso sokuphikisa","","","ifom yesaziso sokuphikisa","","","lifomu lesatiso sekuphikisa","","","","iforomo lesaziso sesinghonghoyilo","","","","foromo ya kitsisongongorego","","","","foromo ya tsebišo ya kganetšo","","","foromo ya tsebiso ya kganyetso","","fomo ya nḓivhadzo ya u hanedza","","","","fomo ya xitiviso xo kaneta","","",""
"observer","","","","","waarnemer","","","","","ingqapheli","","","umakhi-mkhanyo","","","ingcapheli","","","","umtjheji","","","","moelatlhoko","molebeledi","","","molebeledi","","","molebedi","","mulavhelesi","","","","muxiyaxiyi","","",""
"office","","","","","amp","","","","","isikhundla","","","isikhundla","","","sikhundla","","","","isikhundla","i-ofisi","","","bothati","maemotiro","","","ofisi","","","ofisi","","vhuimo","","","","xiyimo","","",""
"official mark","","","","","amptelike merk","","","","","uphawu olusemthethweni","","","uphawu olusemthethweni","","","luphawu lolusemtsetfweni","","","","itshwayo elisemthethweni","","","","letshwaosemmuso","","","","leswao la semmušo","","","letshwao la molao","","tshiga tsha tshiofisi","","","","mfungho wa xifumo","","",""
"official stamp","","","","","amptelike stempel","","","","","isigxivizo esisemthethweni","","","isitampu esisemthethweni","","","singcivito lesisemtsetfweni","","","","isitembu esisemthethweni","","","","setempe sa semmuso","","","","sekibo sa semmušo","setempe sa semmušo","","setempe sa molao","","tshiganḓo tsha tshiofisi","","","","xigandlu xa xifumo","","",""
"one man, one vote","","","","","een mens, een stem","","","","","ivoti elilodwa ngamunye","","","umntu ngamnye uvota kanye","ukuvota kanye","","umuntfu uvota kanye","kuvota kanye","","","ukuvowuda kanye","ivowudu emntwini","","","tlhopho ka motho","tlhopho e le nngwe ka motho","","","motho o tee, boute e tee","","","kgetho ya motho ka mong","","muthu muthihi, voutu nthihi","","","","munhu un’we, vhoti yin’we","","",""
"open list","","","","","kandidaatsentriese lys","","","","","uhlu olungenambandela","","","uluhlu oluvulelekileyo","","","luhlu loluvulekile","","","","irhelo elivulekileko","","","","lenaane le le butsweng","","","","lenaneo leo le bulegilego","","","lenane le bulehileng","","mutevhe wo vuleaho","","","","nongoloko wo pfuleka","","",""
"opinion poll","","","","","meningspeiling","","","","","inhlolombono","","","ukuhlola izimvo","intlolo-mvo","","luhlolovo","","","","ihlolokhetho","ihlolovowudi","","","patlomaikutlo","","","","diphatišišo tša maikutlo","","","-nonya maikutlo","","ṱhoḓisiso ya nḓivho","","","","ndzavisisomavonelo","","",""
"opposition","","","","","opposisie","","","","","amaqembu aphikisayo","","","amaqela aphikisayo","","","emacembu laphikisako","","","","iinqhema eziphikisako","abaphikisi","ipikisi","","kganetso","makokokganetso","","","kganetšo","","","bohanyetsi","","mahanedzi","","","","mavandla yo kaneta","","",""
"opposition party","","","","","opposisieparty","","","","","iqembu eliphikisayo","","","iqela eliphikisayo","","","licembu leliphikisako","","","","isiqhema esiphikisako","","","","lekokokganetso","","","","mokgatlo wa kganetšo","","","mokga wa bohanyetsi","","ḽihoro ḽihanedzi","","","","vandla ro kaneta","","",""
"ordinary resident","","","","","gewone inwoner","","","","","isakhamuzi","","","umhlali","","","umhlali","","","","umhlali ojayelekileko","","","","moagi fela","","","","modudi fela","","","moahi","","mudzulizwawe","","","","mutshami","","",""
"panachage","vote-splitting","","","","panachage","gesplete stemming","","","","ukuvotela amaqembu ahlukene","iphanashaji","","inkqubo yokuvotela amaqela awahlukeneyo","","","kuvotela emalunga lehlukene","iphanashaji","","","isahlukanisimavowudi","i-panachage","","","panašaje","kgaoganyotlhopho","","","phanatšhatše","kgaogantšho ya bouto","","phanaje","","phanatshedzhi","","","","phanachaji","","",""
"parliament","","","","","parlement","","","","","iphalamende","","","ipalamente","","","iphalamende","","","","ipalamende","","","","palamente","kokoanopeomolao","","","palamente","","","palamente","","phalamennde","","","","palamende","","",""
"participatory democracy","","","","","deelnemende demokrasie","","","","","intando yabantu enokubamba iqhaza","","","intando yesininzi evulela intathonxaxheba","","","intsandvo yelinyenti yekuhlanganyela","","","","idemokhrasi ehlanganyelweko","","","","demokerasi ya tseo karolo ka botlhe","temokerasi ya tseo karolo ka botlhe","","","temokerasi ya botšeakarolo","","","demokerasi e kopanetsweng","","dimokhrasi ya u shela mulenzhe","","","","demokirasi yo nghenelela","","",""
"party acronym {e.g. UNESCO}","","","","","partyakroniem","","","","","igamasifinyezo leqembu","","","isifinyezo segama leqela lezopolitiko","","","i-akhronimu yelibito lelicembu","","","","ibizosirhunyezo lehlangano","","","","khutswafatsoina la mokgatlho","","","","leinakopafatšwa la mokgatlo","akronimi ya mokgatlo","","akoronimi ya mokga","","dzinatshikhau ḽa ḽihoro","","","","nkomiso wa vito ra vandla","","",""
"party agent","","","","","partyagent","","","","","ummeleli weqembu esikhungweni","","","ummeli weqela lezopolitiko","","","ummeleli wenhlangano","sitfunywa selicembu","","","umjameli wehlangano","","","","moemelamokgatlho","","","","moemedi wa mokgatlo","","","moemedi wa mokga","","muimeli wa ḽihoro","","","","muyimelavandla","","",""
"party billboard","","","","","partyreklamebord","","","","","ibhodi lesikhangiso seqembu","","","ibhilibhodi yeqela lezopolitiko","","","ibhodisikhangisi yenhlangano","","","","ibhodisikhangisi yehlangano","","","","botopapatso","biliboto ya mokgatlho","","","pilipoto ya mokgatlo","","","biliboto ya mokga","","biḽibodo ya ḽihoro","","","","bilibodo ya vandla","","",""
"party block vote","PB","","","","partyblokstem","","","","","ivoti leqembu lokumela abaningi","","","ukuvota kanye","","","indlela yekukhetsa kanye","","","","indlela yokukhetha kanye","","","","tlhophogangwe","","","","kgethokemedi i ya mokgatlo","","","mokgwa wa ho kgetha hanngwe","","sisteme ya u khetha ḽihoro ḽithihi","","","","ku vhota xikan’we ka vandla","maendlelo yo vhota vandla rin’we","",""
"party-centered ballot","","","","","partysentriese stem","","","","","ukuvotela iqembu","","","iphepha lokuvota elinamamaqela ezopolitiko","","","liphepha lekuvotela inhlangano","","","","ivowudi edzimelele ehlanganweni","","","","baloto ya go tlhopha mokgatlho","","","","mokgwakgetho wa go kgetha mokgatlo","","","balote ya kgetho ya mokga","","bammbiri ḽa khetho ḽa mahoro","","","","maendlelo yo hlawula exikarhi ka mavandla","","",""
"party citation","","","","","dagvaarding aan party","","","","","ukubizela iqembu enkantolo","","","umsila wengwe kwiqela lezopolitiko","","","satiso sekubitela licembu enkantolo","","","","ukudosela ihlangano ekhotho","","","","piletsotshekong ya lekoko","","","","pitšo ya kgoro ya mokgatlo","","","taelo ya ho bitsetsa mokga kgotla","","u vhidzwa khothe ha ḽihoro","","","","xileriso xa huvoxinawu eka vandla","xileriso xa khoto eka vandla","",""
"party election broadcast","","","","","partyverkiesingsuitsending","","","","","ukusakazwa kokhetho lwamaqembu","","","usasazo lonyulo lwamaqela ezopolitiko","","","kusakatwa kwelukhangiso lwemacembu","","","","ukurhatjhwa kwamakhetho weenhlangano","","","","papatso ya ditlhopho tsa lekoko","","","","sebakakgašo sa mokgatlo ka dikgetho","","","kgaso ya dikgetho tsa mokga","","khasho ya u kungedzela ḽihoro","","","","vuhangalasi bya nhlawulo bya mavandla","","",""
"party liaison committee","","","","","partyskakelkomitee","","","","","ikomidi lezokuxhumana leqembu","","","ikomiti eqhagamshelanisa amaqela ezopolitiko","","","likomidi lekuchumama letinhlangano","","","","ikomidi yezokuthintana yehlangano","","","","komiti ya kgokaganyo ya lekoko","","","","komiti ya dikgokaganyo ya mekgatlo","","","komiti ya dipuisano ya mokga","","komitikhonanyi ya ḽihoro","","","","komiti ya vuhlanganisi ya vandla","","",""
"party liaison officer","","","","","partyskakelbeampte","","","","","obhekele ezokuxhumana eqenjini","","","igosa eliqhagamshelanisa amaqela ezopolitiko","","","umchumanisi wenhlangano","","","","isiphathiswa sezokuthintana sehlangano","","","","motlhankedikgokaganyo wa lekoko","","","","mohlankedi wa dikgokaganyo wa mokgatlo","","","mohlanka wa dipuisano wa mokga","","muofisirimukonanyi wa ḽihoro","","","","muofisiri wa swa vuhlanganisi bya vandla","","",""
"party list","","","","","partylys","","","","","uhlu lweqembu","","","uluhlu lwabagqatswa beqela lezopolitiko","","","luhlu lwenhlangano","","","","irhelo lehlangano","","","","lenaane la lekoko","","","","lenaneo la mokgatlo","","","lenane la bonkgetheng ba mokga","","mutevhe wa vhonkhetheni wa ḽihoro","","","","nongoloko wa vandla","nxaxamelo wa vandla","",""
"party manifesto","party manifest","","","","partymanifes","","","","","umkhombandlela weqembu","imanifesto yeqembu","","uluhlu lwezithembiso lweqela lezopolitiko","imanifesto yeqela lezopolitiko","","sichasiso senchubo yenhlangano","","","","iinthembiso zamakhetho zesiqhema","","","","lekwalo ikemisetso la lekoko","manifesto wa lekoko","","","maikemišetšomagolo a mokgatlo","manifeseto wa mokgatlo","","manifeseto ya mokga","","manifesiṱo wa ḽihoro","pfulufhedziso ya ḽihoro","","","manifesito ya vandla","","",""
"party ward candidate","","","","","partywykskandidaat","","","","","umngenelikhetho weqembu esigcemeni","ummelikhetho weqembu ewadini","","umgqatswa omele iqela kwiwadi","","","umkhetfwa welicembu ewadini","umkhetfwa welicembu esigcemeni","","","ungikhethani wehlangano ewadini","","","","ntlhopeng wa kutle ya lekoko","ntlhopheng wa wate ya lekoko","ntlhopeng wa kgoro ya lekoko","","nkgetheng wa wate wa mokgatlo","","","nkgetheng wa wate wa mokga","","nkhetheni wa wadi wa ḽihoro","","","","muyimelakulanghwa wa wadi wa vandla","","",""
"passport","travel document","","","","paspoort","","","","","iphasiphothi","","","incwadana yokundwendwela","","","iphasipoti","","","","ipasipoto","","","","lokwalo lwa mosepele","paseporoto","","","phasepoto","","","phasepoto","","phasipoto","","","","phasipoti","","",""
"peace officer","","","","","vredesbeampte","","","","","umgcinikuthula","","","igosa logcino-cwangco","","","umngcinikuthula","","","","isiphathiswa sezokuthula","","","","motlhankedikagiso","","","","mohlankedi wa khutšo","","","mohlanka wa kgotso","","muofisiri wa mulalo","","","","muofisiri wo tisa kurhula","","",""
"percentage vote","","","","","stempersentasie","","","","","isibalo samavoti ngokwamaphesenti","","","inani leevoti ngokwepesenti","","","linani lemavoti ngemaphesenti","","","","inani lamavowudu ngokwamaphesente","","","","tshupotlhopho ka phesente","mokgwa wa go tlhopha wa phesente","","","dibouto ka diphesente","","","mokgwa wa ho kgetha ka phesente","","voutu nga phesenthe","voutu nga tshaḓana","","","nhlayoxindzana ya vavhoti","","",""
