,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
628,Residential buildings,Buildings that are used primarily as residences. Inclusions: Dwelling houses; flats; holiday chalets; hostels; houses; institutions for the disabled; motels; nursing homes; old-age homes; and townhouses.,"National, Provincial and Local Government ",Residensile geboue,Imakho yokuhlala,Izakhiwo zokuhlala,Izakhiwo zokuhlala,Meago ya bodulo,Meaho ya bodulo,Dikagobonno,Tindlu tekuhlala,Zwifhao zwa vhudzulo,Miako ya vutshamo
629,"Salaries, wages and allowances","Salaries and wages include payments to full-time and part-time employees irrespective of whether the remuneration is paid from revenue, capital or any other account or fund. Salaries, wages and allowances include: Salaries and wages; Allowances; Contributions to other benefit funds of employees such as medical aid, group life, etc. (excluding unemployment insurance and workmens compensation); Other benefits, e.g. housing loan subsidy; Pension fund contributions; Quarters, rations and other expenditure (accommodation, food, medical expenditure, etc., whether provided in cash or in kind); and Uniform clothing and allowances (clothing, boots, overalls, etc., supplied to uniformed employees).","National, Provincial and Local Government ","Salarisse, lone en toelaes",Imirholo neembonelelo,"Imivuzo, iintlawulo nezibonelelo",Imiholo nemihlomulo,Meputso/megolo le diputseleto,"Meputso, mekgolo le ditlhapiso","Dituelo/megolo, ditefo le ditetlo",Imiholo nembasha,Miholo na magavhelo,Miholo na swiengetelo
630,Sales (manufacturing),"Sales are the total value of sales and transfers-out of all own manufactured products/articles and the amounts received for installation, erection or assembly or other services rendered.","National, Provincial and Local Government ",Verkope (vervaardiging),Ithengiso (ekukhiqizeni),Iintengiso (ukuvelisa),-dayisiwe/ -thengisiwe (ukukhiqiza),Dithekio,Dithekiso (tlhahiso),Dithekiso,Lokutsengisiwe (kukhicita),Thengiso(vhumagi),Mixaviso (vumaki)
631,Sales (mining),"Sales are the total value of sales and transfers-out of goods mined by the mining establishments and the amounts received for installation, erection or assembly or other services rendered.","National, Provincial and Local Government ",Verkope (mynbou),Iintengiso (eemayini),Iintengiso (izimbiwa),-dayisiwe/ -thengisiwe (izimbiwa),Dithekio,Dithekiso (merafo),Dithekiso,Lokutsengisiwe (timbiwa),Thengiso (migodi),Mixaviso (migodi)
632,Short-term loans,Include loans from: Local authorities loans fund; Local government institutions; Development Bank of Southern Africa; Public corporations; Banks; Insurers; Pension funds; Other domestic sources; and Foreign sources.,"National, Provincial and Local Government ",Korttermynlening,Imalibolekiswano yesikhathi esifitjhani,Imali-mboleko yexeshana,Imalimboleko yesikhathi esifushane,Dikadimo ta pakakopana,Dikadimo tsa nakwana,Dikadimo tsa pakakhutshwane,Timalimboleko tesikhashana,Khadzimiso dza tshifhinga tshipfufhi,Swikweleti swa nkarhi wo koma
633,Standing appropriations,"Governments expenditure obligations that do not require a vote or statutory provisions, including contractual guarantee commitments and international agreements.","National, Provincial and Local Government ",Staande bewilligings,Izabelo ezijamileko,Uhlahlo-lwabiwo-mali olusigxina lukarhulumente,Isabelomali sikahulumeni esimisiwe,Ditekanyeto ta go ikema,Dikabo tse tsepameng,Dikabo tse di tlhomameng,Emaphakelo lemile,Tshinyalelotshayathendelo,Mikavelo leyi tiyimelaka
634,Statutory appropriations,Amounts appropriated to be spent in terms of statutes and not requiring appropriation by vote.,"National, Provincial and Local Government ",Statutre bewilligings,Izabelo zomthetho,Uhlahlo-lwabiwo-mali olusigxina lukarhulumente ngokusemthethweni,Isabelomali esimisiwe ngokomthetho kahulumeni,Ditekanyeto ta semolao,Dikabo tsa molao,Dikabosemolao,Emaphakelo ngekwetimiso,Tshinyalelondaedzwa nga mulayo,Mikavelo ku ya hi nawu
635,Subsidies,"Current unrequited payments that government units pay to enterprises to assist or encourage them, on the basis of the quantities or values of the goods and services that they produce, sell or import.","National, Provincial and Local Government ",Subsidies,Iimphekiso,Iinkxaso-mali,Imixhaso,Dithuo ta dithelete/ disapositi,Dithuso,Diketleetso,Tibonelelo,Mitikedzo/thikhedzo/sabusidi,Mipfuno
636,Subsidies on production,Payments made to resident enterprises as a consequence of engaging in production.,"National, Provincial and Local Government ",Subsidies op produksie,Iimphekiso zokukhiqiza,Iinkxaso-mali kwimveliso,Imixhaso ekukhiqizweni,Dithuo ta dithelete go tweleto/ disapositi go tweleto,Dithuso tlhahisong,Diketleetso mo tlhagisong,Tibonelelo ekukhiciteni,Thikhedzo/mitikedzo kha vhubveledzi/sabusidi,Mipfuno eka andziso
637,Subsidies on products,Payments made per unit of good or service.,"National, Provincial and Local Government ",Subsidies op produkte,Iimphekiso zemikhiqizo/zepahla,Inkxaso-mali kwiziqhamo zemveliso,Imixhaso emikhiqizweni,Dithuo ta dithelete go ditweletwa/ disapositi go ditweletwa,Dithuso ditlhahisweng,Diketleetso mo dikunong,Tibonelelo emikhicitweni,Thikhedzo/mitikedzo kha zwibveledzwa/sabusidi,Mipfuno eka swimakiwa
638,Sundry debtors,"Sundry debtors include: personal housing loans, other housing loans: mortgages, selling agreements, hire purchases and sponsored government housing loans to welfare.","National, Provincial and Local Government ",Diverse debiteure,Abakweleda okhunye,Amatyala angamanye,Ingxube yabakweleti/ abakweleti abanhlobinhlobo,Bakoloti ba bangwe,Bakadimi ba bang,Baadimi ba bangwe,Bakweledi labayinhlanganisela,Vhakolodi vhawe,Vakoloti va swinwana na swinwana
639,Trading services,Municipal services for which the tariffs are determined in such a way that the provision of the service should yield a trading profit; market-related goods and services. See rates and general services.,"National, Provincial and Local Government ",Handelsdienste,Imisebenzi yokurhweba,Iinkonzo zorhwebo,Imisebenzi/ izinsizakalo zokuhweba,Tirelo ta bogwebi,Ditshebeletso tsa kgwebo,Ditirelokgwebo,Tinsita tekuhweba,Tshumelo dza vhuvhambadzi/mbambadzo,Vukorhokeri bya bindzu
640,Trust funds (local authority),Funds which form part of the local authoritys money and which may have been donated or bequeathed to it for a specific use under its sole control. This amount is reflected in the consolidated balance sheet.,"National, Provincial and Local Government ",Trustfondse (plaaslike owerheid),Isikhwama semali sokuphathelwa,Iimali zetrasti (amagunya engingqi),Isikhwama sethrasti (uMaziphathe Wendawo),Dikhwama ta dithaba/ditherasete,Matsete (bolaodi ba lehae),Matlole a terasete,Sikhwama sekuphatsela (tibuse),Zwikwamapfarelwa(maanalangaapo),Mali ya thirasiti (mfumo wa muganga/ndhawu)
641,Unallocable expenditure,Expenditure that cannot be allocated to a specific function.,"National, Provincial and Local Government ",Ontoewysbare uitgawes,Iindleko ezingakabelwa,Inkcitho engabelwanga mali,Izindleko ezingaqondakali,Ditshenyagelo/ditshenyagalelo ta go se abege,Ditshenyehelo tse sa ajweng,Ditshenyegelo tse di sa abegeng,Inchitfo lengabeki / inchitfo longakhoni kuyaba,Tshinyalelotshayandivhiswa,Ntirhiso lowu nga avekiki
642,Vote,An appropriation voted by national or provincial government. See statutory appropriation.,"National, Provincial and Local Government ",Pos ,Ikoro eyabelweko,Ivoti yolwabiwo- mali,Isabelomali esivotelwe,Bouto,Vouto,Kabo,Ivoti,Mugaganyo ,Vhoti
643,Water Service Development Plan,The WSDP is a sectoral plan that falls within the inter-sectoral umbrella plan of the IDP.,"National, Provincial and Local Government ",Waterdiensontwikkelingsplan,UmTlamo WezokuThuthukiswa KezaManzi,Isicwangciso soPhuhliso lweNkonzo yaManzi,Uhlelo lokuthuthukisa ukunikezelwa kwamanzi,Thulaganyo ya tlhabollo ya ditirelo ta meetse,Moralo wa ntshetsopele ditshebeletsong tsa metsi,Leanotlhabololo la tirelo ya metsi,Luhlelo lwekutfutfukisa kusetjentiswa kwemanti,Nzudzanyo ya mveledziso ya tshumelo ya mai,Pulani ya nhluvukiso wa vukorhokeri bya mati
644,09 book (Census),"The total process of collecting, processing, analyzing and publishing or otherwise disseminating demographic, economic and social data pertaining to all persons in a country or a well-defined part of a country at a specified time.",Population Census ,09-boek (Sensus),Incwadi i-09 (isensasi; ibalopheleleko),Incwadi engunombolo 9 (Ubalo-bantu),Ibhuku i-09 (ngemininingwane yokubalwa kwabantu),Puku ya 09/pukukakareto ya mmalobatho,Buka ya 09 (palabatho),Buka ya 09,Libhuku i-09,Bugu ya 09 (Mbalavhathu / Sentsasi),Buku ya 09 (nhlayelo wa vanhu)
645,Absent household member (interview),A member of a household who was not present at the time of the interview. See absent household member (reference night).,Population Census ,Afwesige lid van huishouding (onderhoud),Ilunga lomuzi/lekhaya elingekho(ikulumiswano),Ilungu lekhaya elingekhoyo (kudliwano-ndlebe),Ilungu lekhaya ebelingekho kubalwa (i-inthaviyu),Mosebegae letating la go bala batho,Setho sa lelapa se siyo (boiteanyo),Tokololo ya lelapa e e seng teng (ka nako ya potsolotso),Lilunga lemndeni lelingekho (nakubalwa),Murao u siho wa mua / haya (mbudzisa / inthaviu),Xirho xa muti lexi nga riki kona (inthavhiyu)
646,Absent household member (reference night),A person who is usually part of the household but was not present in the dwelling on census night. See absent household member (interview).,Population Census ,Afwesige lid van huishouding (verwysingsaand),Ilunga lomuzi / lekhaya elingekho (ikulumiswano),Ilungu lekhaya elingekhoyo (ubusuku bokungqinisisa),Ilungu lekhaya ebelingekho (ngobusuku bokubalwa),Mosebegae boegong bja palo ya batho,Setho sa lelapa se siyo (bosiung bo boletsweng),Tokololo ya lelapa e e seng teng (bosigo jo bo kailweng),Lilunga lemndeni lelingekho (lobobusuku),Murao u siho wa mua /haya (vhusiku ha mbudzisa),Xirho xa muti lexi nga riki kona (vusiku lebyi kongomisiweke)
647,Census date,The date officially proclaimed by the government for the population census.,Population Census ,Sensusdatum,Ilanga elibekiweko lebalopheleleko,Umhla wobalo-bantu,Usuku olumisiwe lokubalwa kwabantu,Tatikgwedi ya mmalobatho/palobatho,Mohla wa palabatho,Letlha la palobatho,Lusuku lwelubalo,Datumu ya mbalavhathu / sentsasi,Siku ra nhlayelo wa vanhu
648,Census day,"The day of the population census date. This is the reference day for persons who were away from home during census night for work, entertainment or travel, but returned home the following day without being counted elsewhere.",Population Census ,Sensusdag,Ilanga lebalopheleleko,Usuku lobalo-bantu,Ilanga lokubalwa kwabantu,Letati la mmalobatho/palobatho,Letsatsi la palabatho,Letsatsi la palobatho,Lilanga lelubalo,uvha a mbalavhathu / sentsasi,Siku ra nhlayelo wa vanhu
649,Census night,The night before the census day. The decisive point of time for being included in the census or not is set as midnight on that night.,Population Census ,Sensusvooraand,Ubusuku bebalopheleleko,Ubusuku bobalo-bantu,Ubusuku bokubalwa kwabantu,Boegong bja ammalobatho/palobatho,Bosiu ba palabatho,Bosigo jwa palobatho,Busuku belubalo,Vhusiku ha mbalavhathu / sentsasi,Vusiku bya nhlayelo wa vanhu
650,Census phases,"The three main phases of a census are: 1) the pre-enumeration phase for all planning of the census; 2) the enumeration phase for execution of fieldwork; and 3) the post-enumeration phase for data processing, analysis and dissemination of census results.",Population Census ,Sensusfases,Iingaba zebalopheleleko,Izigaba zobalo-bantu,Izigaba zokubalwa kwabantu,Magato a mmalobatho/palobatho,Mekgahlelo ya palabatho,Dikgato tsa palobatho,Tigaba telubalo,Nha / maga a mbalavhathu / sentsasi,Swiphemu swa nhlayelo wa vanhu
651,De facto census,A census in which people are enumerated according to where they stay on census night.,Population Census ,De facto-sensus,Ibalopheleleko labafunyenweko,Ubalo-bantu ngokwendawo okuyo,Ukubalwa kwabantu lapho bekhona,Mmalobatho wo o theilwago boegong bja mmalobatho/palobatho,Palo ya setjhaba ho latela moo motho a leng teng,Palobatho go ya ka kwa ba leng teng,Lubalo ngekutfolakala,Mbalavhathu-/ sentsasitsendekavhudzulo ha vhusiku honoho,Nhlayelo wa vanhu ku ya hi laha va kumekaka kona
652,De jure census,A census in which people are enumerated according to where they usually live.,Population Census ,De jure-sensus,Ibalopheleleko lamambala,Ubalo-bantu ngokwendawo ohlala kuyo,Ukubalwa kwabantu lapho bevame ukuhlala khona,Palobatho/mmalobatho wo o theilwego bodulong bja tlwaelo,Palo ya setjhaba ho latela moo motho a phelang teng,Palobatho go ya ka bonno ba ka gale,Lubalo ngekuhlala,Mbalavhathu- / sentsasitsendekavhudzulo tshohe,Nhlayelo wa vanhu ku ya hi laha vanhu va tshamaka kona
653,"Domestic worker, live-in","A domestic worker who lives on the property of the employer, either in the same house or in separate domestic quarters. See domestic worker under labour.",Population Census ,"Huiswerker, inwonend [inwonende huiswerker]","Isisebenzi sekhaya (ekuhlalwa naso, esilalako)","Umncedisi, ohlala emsebenzini",Isisebenzi sasendlini/ wasekhaya ohlala khona,Moomedi wa lapa wa serobalela,Mosebetsi wa lelapa ya dulang,Modiredi wa mo gae yo o robalang,"Sisebenti sasekhaya, lesihlala khona","Mushumi /muthusi wa muani / hayani, mudzulangeo","Mutirhi wa le kaya, loyi a tshamaka entirhweni"
654,Enumeration,The process of counting all the members of a given population and collecting demographic and other information about each person. See direct interview and self-enumeration.,Population Census ,Bevolkingstelling,Ibalo; ukubala,Ubalo,Ukubalwa kwabantu,Palobatho/mmalobatho,Ho bala,Palobatho,Kubala,Mbalavhathu,Nhlayelo
655,Enumeration period,The proclaimed period within which enumeration should be conducted.,Population Census ,Teltydperk,Isikhathi sebalo/sokubala,Ixesha lobalo,Isikhathi sokubalwa kwabantu,Paka ya palobatho/mmalabatho,Nako ya ho bala,Paka ya palobatho,Sikhatsi sekubala,Tshifhinga tsha mbalavhathu,Nkarhi wa nhlayelo
656,Enumeration phase,"The stage of the population census process that involves counting the people. During this phase, enumerators visit every household and all collective living quarters to administer questionnaires. See census phases.",Population Census ,Telfase,Isigaba sebalo/sokubala,Isigaba sobalo,Isigaba sokubalwa kwabantu,Legatho la palobatho/mmalobatho,Mokgahlelo wa ho bala,Kgato ya palobatho,Sigaba sekubala,Lua /iga a mbalavhathu,Xiphemu xa nhlayelo
657,Enumerator,A person who visits households or individuals in a specific enumeration area for the purpose of administration of questionnaires or for self-enumeration.,Population Census ,Opnemer,Umbali,Umbali wabantu,Umbali wabantu,Mmalabatho,Mmadi,Mmalabatho,Umbali,Muvhalavhathu,Muhlayeri
658,Enumerators summary book (Population Census),"A register of demarcation and listing information pertaining to a particular EA, known colloquially as the 09 book, which identifies an EA by province, local authority, main place name and subplace name, and by means of maps and/or aerial photographs. Used during enumeration to record key information such as visits or attempted visits, and total households and people counted.",Population Census ,Opnemer se opsommingsboek (Bevolkingsensus),Incwadi yeenrhunyezo yombali (IBalopheleleko LabaNtu),Incwadi yombali yokushwankathela (UBalo lwaBantu),Incwadi/ibhuku lemininingwane yokubalwa kwabantu,Pukukakareto ya mmalabatho,Buka ya kgutsufatso ya mmadi (Palasetjhaba),Bukatshobokanyo ya mmalabatho,Libhuku lelifishanisiwe lekubala (lubalo lwebantfu),Bugunweledzi ya muvhalavhathu (Mbalavhathu/ Sentsasi),Buku ya nkatsakanyo wa muhlayeri wa vanhu (nhlayelo wa vanhu)
659,Fieldwork station,"An office or other place from where fieldwork is controlled. At the fieldwork station the boxes of questionnaires are distributed, collected, checked and registered.",Population Census ,Veldwerkpunt,Isitetjhi somsebenzi wangaphandle,Indawo /isitishi sokusebenzela,Isikhungo sababali babantu,Seteiene sa moomobaleng,Ofisi e nnyane,Seteienetsamaiso,Lihhovisi lekusebentela ngaphandle,Tshiitshitshimbidzatshumelo,Xitichi xo tirhela
660,Household,"A group of persons who live together and provide themselves jointly with food and/or other essentials for living, or a single person who lives alone.",Population Census ,Huishouding,Umuzi; ikhaya,Umzi,Abasekhaya/abekhaya,Lapa,Lelapa,Lelapa,Likhaya,Mua/haya,Ndyangu
661,Head of the household,"The main decision-maker, or the person who owns or rents the dwelling, or the person who is the main breadwinner.",Population Census ,Huishoudingshoof,Ihloko yekhaya /yomuzi,Intloko yomzi/umninimzi,Inhloko yekhaya/yomuzi,Hlogo ya lapa,Hlooho ya lelapa,Tlhogo ya lelapa,Inhloko yelikhaya,hoho ya mua/haya,Nhloko ya ndyangu
662,Acting head of household,Any member of the household acting on behalf of the head of the household.,Population Census ,"Huishoudingshoof, waarnemend [waarnemende huishoudingshoof]",Umjaphethe wehloko yekhaya /yomuzi,Ibambela-ntloko yomzi,Ibambanhloko yekhaya/yomuzi,Moswarelahlogo wa lapa,Hlooho ya lelapa; motshwaredi,Kemedi ya tlhogo ya lelapa,"Inhloko yelikhaya, libambela",hohopfareli ya mua/haya,"Nhloko ya ndyangu, mukhomeri"
663,Household income (Census),Compare household income (household income and expenditure).,Population Census ,Huishoudelike inkomste (sensus),Ingeniso / imali yekhaya (ibalopheleleko),Ingeniso yomzi (uBalo-bantu),Ingeniso/imali engenayo yekhaya (ukubalwa kwabantu),Ditseno ta lapa,Lekeno la lelapa (Palabatho),Lotseno lwa lelapa,Lokungenako kwelikhaya (lubalo),Mbuelo ya mua/haya (Mbalavhathu / Sentsasi),Mbuyelo wa ndyangu (nhlayelo wa vanhu)
664,Impairment,"Loss or deviation of physiological, neurological or anatomical structure or function of an organ or body part. See handicap.",Population Census ,Gebrek,Ubuqhwala,Ukulimala / uthinteleko,Ukukhubazeka,Kgolofalo,Kgolofalo,Bogole,Kukhubateka,Vhuholefhali,Vutsoniwa
665,In-mover,A person who was living in the household at the time of the post-enumeration survey but was not living in the household at the time of the census.,Population Census ,Intrekker,Umngezeleli,Umngeneleli,Umuntu ofike sekwabalwa,"Motlamorago ga mmalobatho/palobatho, mofihli",Mofihli,Motlamorago,Lobekangekho,Muamurahu ha mbalavhathu,Mutandzhaku
666,Live-in domestic worker,"See domestic worker, live-in.",Population Census ,Inwonende huiswerker,Isisebenzi sekhaya ekuhlalwa naso/esilalako,Umncedisi ohlala apho asebenza khona,Isisebenzi/umsebenzi wasendlini/wasekhaya ohlala khona,Moomedi wa lapa wa serobalela,Mosebetsi wa lelapa ya dulang moo,Modiredi wa mo gae yo o robalang,Sisebenti sasekhaya lesihlala khona,Mushumi / muthusi wa mua /haya mudzulangeo,Mutirhi wa le kaya loyi a tshamaka entirhweni
667,Matching,An operation whereby households and individuals enumerated during a census and a post-enumeration survey are compared for similarities and differences.,Population Census ,Vergelyking,Ukuthomanisa;ukulinganisa,Ukuthelekisa,Ukuqhathanisa,Papeto/tshwanthano,Nyalanyo,Tshwantshanyo,Kumatanisa,Mbambedzo,Mfambelaniso
668,Non-contact,"A situation where data collection is incomplete as the enumerator fails to make contact with a household at an address, or an individual in collective living quarters.",Population Census ,Geen kontak,Ukungatholakali,Engenalunxibelelwano,Ukungaficwa kwabantu abazobalwa,Go hloka badudi,Ba sa fumanwang,Go sa fitlhelege,"Kungatsintsani, kungachumani",Vhusikwamani,Ku nga tihlanganisangi na ndyangu
669,Non-mover,A person who was living in the household at the time of the census and at the time of the post-enumeration survey.,Population Census ,Blyer,Umnzinzi,Isigxina,Ohlalekhona,Moseuthe,Ya teng ka mehla,Monni/modudi,Losolo akhona,Mudzuli,Mutshamandhawuyinwe
670,Out-mover,A person who was living in the household at the time of the census but was not living in the household at the time of the post-enumeration survey.,Population Census ,Wegtrekker,Umphunguli,Ongesosigxina,Umuntu ohambe sekwabalwa,Mouthi,Ya tsamaileng,Mohudugi,Lobekakhona,Muaphana ha mbalavhathu,Loyi a fambeke
671,Overcount,The number of persons or households inadvertently counted twice in a census.,Population Census ,Dubbeltelling,Ibalodlulileko,Ukugqithisa ukubala,Ukukubalwa kaningi,Palophetiwa,Ya/ba badilweng hangata,Palelophetiso,Kuphindzeka,Mbalakavhili,Nhlayelontluriso
672,PES,See post-enumeration survey.,Population Census ,NTO (natellingopname),I-PES,IPES,iPES,PES,PES,TMPB,i-PES,PES,MENV
673,Place of birth,"For persons born in South Africa, the province where the person was born, according to the present geography. For foreign-born persons, the country where the person was born.",Population Census ,Geboorteplek,Indawo yamabeletho,Indawo yokuzalwa,Indawo yokuzalwa,Lefelo la tswalo,Sebaka sa tswalo,Lefelobotsalo,"Indzawo lotalelwe kuyo, lawutalelwe khona",Flua/hethu ha mabebo,Ndhawu ya ku velekiwa
674,Place of enumeration,"The place where the person was on census night (in a de facto census), whether or not this is his/her usual place of residence.",Population Census ,Telplek,Indawo yokubalela,Indawo yobalo,Indawo umuntu abalelwe kuyo,Lefelo la mmalobatho/palobatho,Sebaka sa ho bala,Lefelo la palobatho,Indzawo lobalelwe kuyo,Fhethu ha mbalavhathu,Ndhawu ya nhlayelo
675,Place of usual residence,The geographical place where the person resides four nights a week on average. Usually collected at subplace level.,Population Census ,Gewone woonplek,Indawo ohlala kiyo,Indawo yokuhlala yesiqhelo,Indawo avame ukuhlala kuyo,Lefelo la bodulo la tlwaelo/la ka mehla,Sebaka sa tlwaetso,Bonno ba ka gale,Indzawo lovamisa kuhlala kuyo,Vhudzulo ha misi,Ndhawu laha munhu a talaka ku tshama kona
676,Population census,A survey conducted on the whole population.,Population Census ,Bevolkingsensus,Ibalopheleleko labantu,Ubalo lwabantu/ubalo-bantu,Ukubalwa kwabantu,Mmalobatho/palobatho,Palasetjhaba,Palobatho ya baagi,Lubalo lwebantfu,Mbalavhathu / sentsasi,Nhlayelo wa vanhu
677,Post- enumeration phase,The stage of the census after all questionnaires have been administered and collected.,Population Census ,Natellingsfase,Isigaba sangemva kwebalo/kokubala,Isigaba esisemva kobalo,Isigaba esilandela ukubalwa kwabantu,Legato la ka morago ga palobatho/mmalobatho,Mokgahlelo ka mora ho bala,Kgato ya morago ga palobatho,Sigaba emva kwekubala,Lua/iga thevhelambalavhathu,Nkarhi endzhaku ka nhlayelo wa vanhu
678,Post-enumeration survey,A sample survey conducted immediately after the census to evaluate the census. Adjustments for undercount or overcount are then made to the census results based on the results of the PES.,Population Census ,Natellingopname (NTO),Ihlolo yangemva kwebalo/kokubala,Uhlolo emva kobalo,Ucwaningo olulandela ukubalwa kwabantu,Tekolo ya ka morago ga palobatho/tekolo ya ka morago ga mmalobatho,Dipatlisiso ka mora ho bala,Tlhotlhomiso ya morago ga palobatho,Isaveyi emuva kwekubala,Tsedzuluso savei thevhelambavhathu,Mbalango endzhaku ka nhlayelo wa vanhu
679,Pre-enumeration phase,The stage of the census during which all preparatory work is carried out.,Population Census ,Voortellingsfase,Isigaba sangaphambi kwebalo/kokubala,Isigaba esandulela ubalo,Isigaba esandulela ukubalwa kwabantu,Legato la pele ga palobatho/legato la pele ga mmalobatho,Mokgahlelo wa pele ho balwa,Kgato ya pele ga palobatho,Sigaba ngembikwekubala,Lua/iga thangelambalavhathu,Nkarhi wo rhangela nhlayelo wa vanhu
680,Relationship to the head or acting head of the household,"Relationship through blood, marriage, adoption or other circumstance.",Population Census ,Verwantskap met huishoudingshoof of waarnemende huishoudingshoof,Ubuhlobo nehloko yomuzi namkha nomjaphethe wehloko yomuzi,Ubudlelwane nentloko yomzi okanye nebambela-ntloko yomzi,Ubuhlobo nenhloko noma ibambanhloko yekhaya,Kamano le hlogo goba moswarelahlogo wa lapa,Dikamano le hlooho kapa motshwaredi wa hlooho ya lelapa,Kamano le tlhogo/kemeditlhogo ya lelapa,Kuhlobana nenhloko nobe libambelanhloko lelikhaya,Vhushaka kha hoho kana hohopfareli ya mua / haya,Vuxaka exikarhi ka muhlayiwa na nhloko ya ndyangu kumbe mukhomeri wa nhloko ya ndyangu
681,Resolved case,"A case, of a person, household or a questionnaire, where matching between the census and the post-enumeration survey is successful.",Population Census ,Opgeloste geval,Umraro orarululiweko,Umba osonjululweyo,Ukuhambelana kokubala,Papeto ye e atlegilego,Nyewe e rarolotsweng,Kgetse e e rarabolotsweng,Kuvumelana kwelubalo,Fhungoladzwa,Mhaka leyi lulamisiweke
682,Undercount,The number of people or households that were not counted in the census.,Population Census ,Ondertelling,Ibalongaphasi,Ukubala nganeno,Ukubalela nganeno,Palotlhaelelwa,Ba sa balellwang,Palelotlase,Kushiyeka,Mbalahahedza,Nhlayelohansi
683,Unresolved case,"A case, of a person, household or questionnaire, where matching between the census and the post-enumeration survey fails because of a lack of adequate information or because responses differ.",Population Census ,Onopgeloste geval,Umraro ongakararululwa,Umba ongasonjululwanga,Ukungavumelani kobalo,Palo ye e sa atlegago,Nyewe e sa rarabollwang,Kgetse e e sa rarabololwang,Kungavumelani kwelubalo,Fhungo tshayandadzwa,Mhaka leyi nga lulamisiwangiki
684,Absolute poverty line,That level of the standard of living measure below which a household is unable to meet its basic needs.,Poverty ,Absolute armoedegrens,Izinga lobuchaka bokugcina,Iqondo lendlala eligqithisileyo,Izinga eliphezulu lobuphofu/lobubha,Legatokgao la bodiididiidi,Moedi wa bofutsanafutse,Kemo ya lehumatota; boikaparitota,Labaphuye mbamba,Tshikalavhushai tsha vhukuma,Mpimo wa vusweti wa xiheri
685,Decomposable poverty index (DPI or P),"Measure of the degree of inequality among the poor.
Note: The DPI is considered conventional and measures the incidence of poverty and the degree of inequality among the poor using an aversion parameter and determines the proportionate decrease from the poverty line. It also shows the living standards and relates them to the population at large.",Poverty ,Ontbindbare armoede-indeks (OAI),Ikomba yokutjhiyana kobuchaka(i-DPI namkha i-P2),Isalathiso sokwaphula amandla endlala (iDPI okanye i P2),Inkomba yezinga eliphezulu lobuphofu/lobubha (i-DPI nomaP2),Legatokgao la bodiididiidi,Tshupane ya maemo a bofutsana (DPI kapa P2),Tshupakemo ya lehuma,Kulinganisa lizinga lekungalingani lebuphuya,Tshikala tshayandinganelo ya vhushai (DPI kana P2),Xikombo xa vusweti xa nkandzingano
686,Expenditure gap ratio (EGR),Measure that considers the degree of poverty and the extent to which expenditure of the poor lies below the poverty line.,Poverty ,Bestedingsgaping-verhouding (BGV),Iretjhiyo yokutjhiyana kweendleko (i-EGR),Umlinganiselo womsantsa wenkcitho (iEGR),Isilinganiso segebe lezindleko (i-EGR),Tekanyokelo ya magato a ditshenyagalelo,Tekanyo ya sekgeo sa ditshenyehelo,Sekgalakabo sa ditshenyegelo,Sichatsanisosibalo seligebe lenchitfo,Tshikhala tsha ndivhanele ya tshinyalelo (EGR),Mpimoxiave wa vangwa ra ntirhiso (MVN)
687,Gini index,"Index that shows how close a given distribution of income is to absolute equality or inequality.
Note: The Gini coefficient is the ratio of the area between the 45-degree line and the Lorenz curve and the area of the entire triangle. As the coefficient approaches zero, the distribution of income or consumption approaches absolute equality, and absolute inequality if it approaches 1.",Poverty ,Gini-indeks,Ikomba ka-Gini,Isalathiso seGini,Inkomba kaGini,Kelothupeto ya Gini,Tshupane ya Gini,Tshupane ya ga Gini,Inkhomba yaGini,Tshikaladzhini,Xikombo xa Gini
688,Head-count ratio (HCR or P0),"The percentage or proportion of persons taken to be poor, in relation to the total population in a given country, region, etc. In other words, it is the proportion of the population whose standard of living is lower than the country-specific poverty line (usually measured in terms of income or consumption).",Poverty ,Armes: bevolking-verhouding,Iretjhiyo yokubala ihloko(i-HCR namkha i-P0),Umlinganiselo wobalo lwabantu abakhoyo (iHCR okanye iPO),Isilinganiso sokubala umuntu ngamunye,Tekanyokelo hlogo ka hlogo,Karolo ya mafutsana setjhabeng; palo ya motho ka mong,Kabopalelo ya tlhogo ka tlhogo,Sichatsanisosibalo sekubala umuntfu ngamunye(i-HCR noma i-PO),Ndivhanele ya muthu nga muthu ya vhushai (HCR kana P0),Mpimoxiave wo hlayela hi nhloko
689,Minimum acceptable standard of living,"The ability for an individual or household to meet their basic needs, namely minimum accommodation, water, food, health care, education and sanitation.",Poverty ,Minimum aanvaarbare lewenstandaard,Ubuncani bezinga lepilo obulungileko/obamukelekako,Ubuncinane obamkelekileyo bomgangatho wokuphila,Izinga elamukelekile lokuphila,Minimamo ya maemo a bophelo a a amogelegago,Maemo a tlase a amohelehang a bophelo,Maemotlase a a amogelesegang a botshelo,Lizingancane lemphilo lelemukelekile,Tshiimohanganedzwa tsha fhasisa tsha kutshilele,Mahanyelo ya vutomi lama amukelekaka ya le hansi
