eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
managed flexibility (dirty floating),beheerde buigsaamheid (beheerde swewing),ukuguquleka (kwamazinga okushintshiselana),ububhetyebhetye obulawulwayo (ukujinga esithubeni okumdaka),tingucuko letenganyelwe,ukutjhuguluka okulawulwako (ukunzinza okungasikuhle),menego yeo e beilwego ka fase ga taolo (phaphamalo ye mpe),go fetogafetoga go go laolwang (kokobalo e e leswe),ho kgema le maemo ho laolwang (ho phophoma ho silafetseng),u langa u tepiswa ha phimo dza thengisedzano,ku cincacinca loku lawulekaka
managed floating exchange rate,beheerde swewende wisselkoers,ukuguquleka (kwamazinga okushintshiselana),izinga lorhwebo elijingayo elilawulwayo,lizinga lekuntjintjelana lelintantako lelenganyelwe,isilinganiso esilawulwako sokutjhintjhelana okungakanzinzi,tekanyo ya phetošetšo ya phaphamalo ye e beilwego ka fase ga taolo,kelo ya kananyo ya go fetogafetoga go go laolwang,sekgahla sa phapanyetsano ya ho phophoma ho tlasa tsamaiso,u langa phimo dza thengisedzano dzi no papamala,mpimo wa ncicano wo papamala lowu lawulekaka
managerial prerogatives,bestuursprerogatiewe,izinqumo zeziphathamandla zenkampani,amalungelo oomanejla,emagunya ebaphatsi,amalungelo wabaphathi,ditokelo tša balaodi,ditshiamelo tsa balaodi,boithatelo ba bolaodi,tsheo dza Vhalanguli,timfanelo ta vufambisi
marginal,marginaal,majinali,okusecaleni,lokwengetiwe,ngenisako inzuzo engaphezulu,ya go se be ya maleba,koketso,tse Nyenyane/Tse ding,phaphelelo/Nyengedzedzo,switsongotsongo
marginal analysis,marginale ontleding,uhlaziyo lwemajinali,uhlalutyo lokongezelekileyo,kuhlatiya lokwengetiwe,icozululo lemadanisonzuzo,tshekatsheko ya fasana,tshekatsheko ya tlaleletso,patlisiso e eketsehileng,tsaukanyo ya Phaphelelo/Nyengedzedzo,nxopanxopo wa switsongotsongo
marginal benefit,marginale voordeel,umhlomulo owengezekile,ingenelo esecaleni,umhlomulo lowengetiwe,inzuzo engaphezulu,dikholo tše nnyane,poelo ya tlaleletso,monyetla o eketsehileng,u vhelwa nga Phaphelelo/Nyengedzedzo,mbuyelo wutsongotsongo
marginal capital/output ratio,marginale kapitaal/produksie-verhouding,inani lemali engezekile/ireshiyo yokukhiqizwayo,umlinganiselo wekhapitali/umphumo osecaleni,sicalo lesengetiwe/ ireshiyo yemiphumela,imali eyinzuzo/iretjhiyo emphumela,letlotlo le lennyane/kabo ya tšweletšo,letlotlo la tlaleletso/kelo ya ntshetsontle,reshio e nyenyane ya thepa ya motheo/sephetho,khephithaḽa ya Phaphelelo/reshio ya tshibveledzwa,mali yi tsongotsongo /mpimaniso wa ximakiwa
marginal consumer surplus,marginale verbruikersurplus,insalela wokutholwa ngumthengi,intsalela yabathengi esecaleni,insalela yetidlo letengetiwe,isalela eyinzuzo engaphezulu yomsebenzisipahla,mašalela a bašomiši a mannyane,pheteledi ya tlaleleltso ya badirisi,masalla a bareki a manyenyane,phaphelelo ya vhashumisi vha zwibveledzwa,nsalo wu tsongotsongo
marginal cost (MC),marginale koste (MC),izindleko ezengezekile (MC),iindleko ezisecaleni (MC),tindleko letengetiwe (MC),iindleko zenzuzo engaphezulu (MC),tshenyegelo ya fase,thenyegelo ya tlaleleltso (MC),tefo e eketsehileng,phaphelelo ya u ḓurelwa (MC),nxavo wutsongotsongo (MC)
marginal cost (of an activity),marginale koste (van ’n aktiwiteit),iziengezekile (zokwenziwayo),iindleko ezisecaleni (zesenzo),tindleko letengetiwe (temsebenti),iindleko zenzuzo engaphezulu (zomsebenzi),tshenyegelo ya fase(tiro),tshenyegelo ya tlaleletso (ya tirwana),tefo e nyenyane (ya mosebetsi),phaphelelo ya u ḓurelwa (ha nyito iṅwe na iṅwe),nxavo wutsongotsongo (wa nghingiriko wo karhi)
marginal cost (of production),marginale koste (van produksie),izindleko ezengezekile (zokukhiqiza),iindleko ezisecaleni (zemveliso),tindleko letengetiwe (temkhicito),iindleko zenzuzo engaphezulu (zokukhiqiza),tshenyegelo ya fase (ya tšweletšo),tshenyegelo ya tlaleletso (ya ntshodikumo),tefo e nyenyane (ya tlhahiso),phaphelelo ya u ḓurelwa (ha tshibveledzwa),nxavo wa vutsongotsongo (wa vumaki)
marginal disutility of work,marginale nutsderwing van werk,isengezo zokuzinikela ukusebenza ngaphezu kwesikhathi esimisiwe,ukusokolela umsebenzi okusecaleni,kusebenta kwekutikhandla lokwengetiwe,ukusebenza isikhathi eseqileko,tlhokakholo ye nnyane ya mošomo,tlaleletso ya tiro,ho hloka kgotso ha mosebetsi ho eketsehileng,phaphelelo ya malamba a tshifhinga/ ya Ovathaimi,nkalampfumeto wa ntirho wutsongotsongo
marginal efficiency of capital or internal rate of return,marginale doeltreffendheid van kapitaal of interne opbrengskoers,inzuzo yokutshalwa kwemali,ukusebenza kakuhle okusecaleni kwekhapitali okanye izinga lengeniso langaphakathi,likhono lekwenta lelengetiwe lesicalo nobe lizinga langekhatsi lembuyiselo,isilinganiso sesisomali,bokgoni bjo bonnyane bja kapitlele goba tekanyo ya ka gare ya poelo.,tlaleleltso ya letlotlo kgotsa kelo ya poelo ya ka fa teng,bohlwahlwa bo eketsehileng ba thepa ya motheo kapa sekgahla sa ka hare sa phaello,vhukoni ha khephithaḽa ya phaphelelo,vuswikoti bya mali kumbe mpimo wa le ndzeni wa mbuyelo wutsongotsongo
marginal physical product,marginale fisiese produk,umkhiqizo ophathekayo ongezekile,imveliso ebonakalayo esecaleni,umkhicito lophatsekako lowengetiwe,umkhiqizo ofunyanwa ngokusetjenziswa kweyunithi elingaphezulu lefektha etjhugulukako,setšweletšwa se sennyane,tlaletso ya kumo e e tshwaregang,sehlahiswa se tshwarehang se eketsehileng,phaphelelo ya tshibveledzwa tshi no vhanḓea,ximakiwa xo khomeka xi tsongo
marginal product (MP),marginale produk (MP),umkhiqizo ongezekile (MP),imveliso esecaleni (MP),umkhicito lowengetiwe (MP),umkhiqizo wamambala (I-MP),setšweletšwa se sennyane (MP),kumo ya tlaleletso,sehlahiswa se eketsehileng (MP),tshibveledzwa tsha phaphelelo (MP),ximakiwa xa vutsongotsongo
marginal productivity theory,teorie van marginale produktiwiteit,ithiyori yomkhiqizo ongezekile,umgaqo wokuvelisa okusecaleni,umcondvo wekukhicita lowengetiwe,itiyori yesilinganiso sokuphumelela komsebenzi owenziwako,teori ya tšweletšo ya fasana,tiori ntshodikumo ya tlaleletso,mohopolo wa katleho ya tlhahiso e eketsehileng,thyori ya vhubveledzi ha phaphelelo,miehleketo ya swa vumaki ya vutsongotsongo
marginal productivity theory of income distribution,marginaleproduktiwiteit-teorie van inkomsteverdeling,ithiyori yomkhiqizo ongezekile yokusatshalaliswa kwemali engenile,umgaqo wemveliso esecaleni wosasazo lwengeniso,umcondvo wekukhicita lowengetiwe wekwabiwa kwemiholo,itiyori yamambala yesilinganiso sokwabiwa ngefanelo kwengeniso,teori ya tšweletšo ya fasana ya kabelo ya moputso,tiori ntshodikumo ya tlaleletso ya phatlhalatso ya lotseno,mohopolo wa katleho ya tlhahiso e eketsehileng ya kabo ya lekeno,thyori ya vhubvedzi ha phaphelelo hu no kkwma phaḓaladzo ya mbuelo,miehleketo ya swa vumaki ya vutsongotsongo ya ku aviwa ka muholo.
marginal propensity to consume,marginale verbruiksgeneigdheid,ingxenye yemali engenile elungele ukusetshenziswa,utyekelo lokuthenga olusecaleni,kutsakasela kudla lokwengetiwe,isiqhelo samambala sokusebenzisa ipahla,setlwaedi sa fasana go tšhomišo,tlaleletso ya karolo eo e diriswang,tlwaelo ya hlaho e eketsehileng ya ho sebedisa,nḓowelo ya phaphelelo ya u shumisa tshelede,ntolovelo wa ku tirhisa wutsongotsongo
marginal propensity to import (MPM),marginale invoergeneigdheid (MPM),ingxenye yemali engenile yokuthenga impahla yangaphandle (MPM),utyekelo lokungenisa izinto ezivela kwamanye amazwe olusecaleni (MPM),kutsakasela kungenisa lokwengetiwe,isiqhelo samambala sokungeniswa kwepahla enarheni (I-MPM),setlwaedi sa fasana sa kgwebišontle (MPM),tlaleletso ya karolo eo e romelwangteng (MPM),tlwaelo ya hlaho e eketsehileng ya ho reka ka ntle (MPM),nḓowelo ya phaphelelo ya u ṱunḓa (MPM),"ntolovelo wa ku xava nhundzu ematikweni ya le handle wa ""marginal""(MPM)"
marginal propensity to save (MPS),marginale spaargeneigdheid (MPS),ingxenye yemali engenile eyongiwayo (MPS),utyekelo lokonga olusecaleni (MPS),kutsakasela konga lokwengetiwe (MPS),isiqhelo samambala sokubulunga,setlwaedi sa fasana sa go boloka (MPS),tlaleletso ya karolo e e bolokwang (MPS),tlwaelo ya hlaho e eketsehileng ya ho boloka (MPS),nḓowelo ya phaphelelo ya u vhulunga (MPS),ntolovelo wa ku hlayisa wutsongotsongo (MPS)
marginal propensity to withdraw,marginale onttrekkingsgeneigdheid,ingxenye yemali engenile ekhishwayo,utyekelo lokutsala imali olusecaleni,kutsakasela kukhipha lokwengetiwe,isiqhelo samambala sokukhupha imali,setlwaedi sa fasana sa go goga tšhelete,tlaleletso ya karolo e e gogelwang morago,tlwaelo ya hlaho e eketsehileng ya ho hula (MPS),nḓowelo ya phaphelelo ya u bvisa tshelede,ntolovelo wa ku susa wutsongotsongo
marginal rate of factor substitution,marginale faktorvervangingskoers,isilinganiso sokufaka okokukhiqiza esikhundleni sokunye,izinga elisecaleni lokutshintshwa koonobangela,silinganiso sentalo lesengetiwe sekumelela intfo,isilinganiso samambala sokujanyiselelwa kwefektha,tekanyo ya fasana ya kemedi,tlaleletso ya kemisetso ya palokatiso,sekgahla se eketsehileng sa kemelo ya ntlha.,phimo ya phaphelelo ya vhuimelatshiṱuṱuwedzi,mpimo wutsongotsongo wa ku siva xivangelo
marginal rate of income tax,marginale inkomstebelastingskoers,intela ekhokhwayo ngerandi elingenayo,izinga elisecaleni lerhafu yengeniso,silinganiso lesengetiwe semtselo wemholo,isilinganiso samambala sengeniso yomthelo,tekanyo ya fasana ya motšhelo,tlaleletso ya lekgetho la lotseno,sekgahla se eketsehileng sa lekgetho la lekeno.,phimo ya phaphelelo ya muthelo wa muholo,mpimo wutsongotsongo wa xibalo xa muholo
marginal rate of substitution,marginale vervangingskoers,inani lempahla engaengakhishelwa ukufaka enye,izinga elisecaleni lokutshintshwa,silinganiso lesengetiwe sekumelela,isilinganiso samambala sokujamiselela,tekanyo ya fasana ya kemedi,tlaleletso ya kelo ya kemisetso,sekgahla se eketsehileng sa kemelo,phimo ya phaphelelo ya vhuimeli,mpimo wutsongotsongo wa ku siva
marginal rate of substitution (between two goods in consumption),marginale vervangingskoers (tussen twee produkte wat verbruik word),inani lempahla engakhishelwa ukufaka enye (phakathi kwezimpahla ezimbili ezifunwayo),izinga elisecaleni lokutshintsha (phakathi kwempahla ezimbini ekuthengeni),silinganiso lesengetiwe sekumelela (emkhatsini kwemikhicito mibili ledliwako),isilinganiso samambala sokujamiselela (phakathi kweempahla ezimbili ezisetjenziswako),tekanyo ya fasana ya kemedi (magareng ga diphahlo tše pedi go tšhomišo),tlaleletso ya kelo ya kemisetso ( fa gare ga dikumo di le pedi tse di diriswang),sekgahla se eketsehileng sa kemelo (pakeng tsa thepa tse pedi tsa tshebediso/theko),phimo ya phaphelelo ya vhuimeli (vhukati ha zwibveledzwa zwivhili zwine zwa khou shumiswa),mpimo wutsongotsongo wa ku siva (exikarhi ka tinhundzu timbirhi leti tirhisiwaka)
marginal resource cost,marginale hulpbronkoste,isengezo sezindleko ngokwenyuswa kwezinsizakusebenzisa,iindleko zokusetyenziswayo ezisecaleni,tindleko tetinsita letengetiwe,iindleko zamambala zomthombo,theko ya mothopo wa fasana,tlaleletso ya ditshenyegelo tsa metswedi,tefo ya leruo le eketsehileng,tshinyalelo ya phapheleo ya tshiko,nxavo wa xitirhisiwa wutsongotsongo
marginal revenue (MR),marginale inkomste (MR),isengezo semali engenayo ngokwenyuswa kwezinsizakusebenzisa,ingeniso esecaleni (MR),umholo lowengetiwe (MR),irevenyu yamambala (MR),letseno la fasana (MRP),tlaleletso ya lotseno (MR),lekeno le eketsehileng (MR),phaphelelo ya mbuyelo,mali leyi hlengeletiweke yi tsongotsongo (MR)
marginal revenue product (MRP),marginale inkomsteproduk (MRP),isengezo semali engenayo ngokwenyuswa kwezinsizakusebenzisa,imveliso yengeniso esecaleni (MRP),umkhicito wemholo lowengetiwe (MRP),umkhiqizo wamambala werevenyu,setšweletšwa sa letseno se sennyane (MRP),kumo ya tlaleletso ya lotseno,sehlahiswa sa Lekeno le eketsehileng (MRP),phaphelelo ya mbuyelo kha tshibveledzwa,"ximakiwa xa mali leyi hlengeletiweke xa ""marginal"""
marginal tax propensity,marginale belastinggeneigdheid,isilinganiso sokwenyuswa kwemali engenayo yezwe ngokwentela,utyekelo lwerhafu olusecaleni,kukhutsalela umtselo lowengetiwe,isiqhelo somthelo wamambala,setlwaedi sa motšhelo wa fasana,tlaleletso ya karolo ya lekgetho,tlwaelo ya lekgetho le eketsehileng,phaphelelo ya ndivhanele ya muthelo,xibalo xitsongotsongo
marginal tax rate,marginale belastingkoers,inguquko yezinga lentela lokwenyuka kwemali engenayo,izinga lerhafu elisecaleni,silinganiso semtselo lowengetiwe,isilinganiso esingaphezulu somthelo,tekanetšo ya motšhelo ya fasana,kelo ya lekgetho e e tlaleleditsweng,sekgahla sa lekgetho le eketsehileng,phaphelelo ya phimo ya muthelo,mpimo wa xibalo wutsongotsongo
marginal utility,marginale nut,ukugciliseka ngokukodwa okwengeziwe kwempahla,inkonzo esecaleni,kwenetiseka lokwengetiwe,ukusebenziseka ngokweqileko,kholo ya fasana,tlaleletso ya botlhokwa jwa sediriswa.,kgotsofatso e eketsehileng,phaphelelo ya pfasheo,mpfuno wutsongotsongo
marginal-revenue–marginal-cost approach,marginale-inkomste-marginale-kostebenadering,indlela yenguquko yemali engenayo nezindleko,indlela yengeniso esecaleni iindleko ezisecaleni,leyengetiwe-Inkhokhelo-leyengetiwe- Indlela yetindleko,indlela yokusetjenziswa kwerevenyu yamambala kanye neendleko zamambala,mokgwatiro wa letseno-la-fasana-theko ya fasana,tlaleletso-lotseno-tlhagiso ya tlaleletso ya ditshenyegelo,kKatamelo ya Lekeno-le-eketsehileng - Tefo-e-eketsehileng,nḓila ya phaphelelo-mbuyelo-phaphelelo-uḓurelwa,"maendlelo ya ""Marginal-revenue–marginal-cost"""
market,mark,imakethe,imakethi,imakethe,imakethe,mmaraka,mmaraka,mmaraka,maraga,makete
market clearing,markeffening,ukushaqwa kwemakethe,ukuphela kwemakethi,kuhloba kwemakethe,ukuba dududu kwemakethe,tlhwekišo ya mmaraka,mmaraka o o tlhapileng,tlhakiso ya Mmaraka,ndinganyiso maragani,ku basisiwa ka makete
market demand,markvraag,izidingo zamanje,imfuneko yemakethi,sidzingo semakethe,ifuneko yemakethe,nyako ya mmaraka,topo ya mmaraka,tlhoko ya Mmaraka,nḓilazwibveldzwa dza makete,swilaveko swa makete
market economic system,mark ekonomiese stelsel,uhlelo lomnotho lwezimakethe,inkqubo yezoqoqosho yemakethi,luhlelo lwemnotfo lwemakethe,irherho lomnotho lemakethe,tsela ya ekonomi ya mmaraka,tsamaiso ya mmaraka wa ikonomi,mokgwa wa tshebetso wa moruo wa Mmaraka,sisiṱeme ya ekinomi ya maraga,sisiteme ya makete wa swa ikhonomi
market economy,markekonomie,umnotho wezimakethe,uqoqosho lwemakethi,umnotfo wemakethe,irhelo lomnotho lemakethe,ekonomi ya mmaraka,mmaraka wa ikonomi,moruo wa Mmaraka,ikonomi ya maraga,ikhonomi ya makete
market failure,markfaling,ukwehluleka kwemakethe,ukusilela kwemakethi,kwehluleka kwemakethe,ukubhalelwa kwemakethe,go šitwa/palelwa ga mmaraka,go retelelwa ga mmaraka,ho nyopa ha Mmaraka,u kundelwa ha maraga,ku tsandzeka ka makete
market for externality rights,mark vir eksternaliteitsregte,imakethe yamalungelo angaphandle,imakethi yamalungelo angaphandle,imakethe yemalungelo ekukhiphela ngephandle,imakethe yamalungelo womthelela womnotho ongekho eentengweni zemakethe,mmaraka wa ditokelo tša bontle,mmaraka wa ditshwanelo tsa dintle,mmaraka wa ditokelo tsa bokantle (externality),maraga wa p[fanelo dzo kalulaho,makete wa timfanelo ta ku humesa swithyakisi
market for factors of production,mark vir produksiefaktore,imakethe yokokukhiqiza,imakethi yoonobangela bemveliso,imakethe yetintfo temkhicito,imakethe yamafektha wokukhiqiza,mmaraka wa tšweletšo ya dikatišani,mmaraka wa dipalokatiso tsa ntshodikumo,mmaraka wa dintlha tsa tlhahiso,maraga wa zwiṱuṱuwedza bveledzo,makete wa swivangelo swa ku humesiwa ka swilo
market for loanable funds,mark vir leenbare fondse,imakethe yezimali ezingabolekwa,imakethi yemali enokubolekwa,imakethe yetimali tekwebolekisa,imakethe yeemali ezibolekiswako,mmaraka wa dikhwama tša go adimega,mmaraka wa matlotlo a a ka adimiwang,mmaraka wa matlole a ka kadingwang,meke wa masheleni a no hadzimisea,makete wa mali leyi nga lombiwaka.
market forces,markkragte,izilawuli zemakethe,ukusebenza kwemakethi,emandla emakethe,amandla wemakethe,maatla a mmaraka,matsholo a mmaraka,ditshusumetso tsa Mmaraka,zwiṱuuwedzi wa maraga,matimba ya makete
market loans,marklenings,izimalimboleko zesikhathi esifushane,imalimboleko yemakethi,timali temakethe tekwebolikisa,iimali ezibolekiswa ziimakethe,dikadimo tša mmaraka,dilounu tsa mmaraka,mmaraka wa dikadimo,khadzimiso dza maraga,mali leyi lombiweke ya makete
market period,marktydperk,isikhathi semakethe,ithuba lemakethi,sikhatsi semakethe,isikhathi semakethe,lebaka la mmaraka,paka ya mmaraka,nako ya Mmaraka,tshifhinga tsha maraga,nkarhi wa makete
market prices,markpryse,amanani ezimpahla,iintengo zeempahla zemalike,tintsengo temakethe,iintengo zemakethe,ditheko tša mmaraka,ditlhotlhwa tsa mmaraka,ditheko tsa Mmaraka,,mixavo ya makete
market shortage,marktekort,ukushoda kwezimakethe,ukushota kwemakethi,kushoda kwemakethe,itlhayelo lemakethe,tlhokego ya mmaraka,ditlhaelo tsa mmaraka,kgaello ya Mmaraka,,nkayivelo wa makete
market structure,markstruktuur,isakhiwo sezimakethe,ukumila kwemakethi,sakhiwo semakethe,isakhiwo semakethe,popego ya mmaraka,popego ya mmaraka,sebopeho sa Mmaraka,tshivhumbeo tsha maraga,xivumbeko xa makete
market supply,markaanbod,ukuphakelwa kwezidingo,ukufumaneka kwimakethi,lokufakwa emakethe,ukuthengiswa kweempahla emarageni,phahlo ya mmaraka,theleso ya mmaraka,phepelo mmarakeng,nḓisedzo dza maraga,mphakelo
market surplus,marksurplus,insalela yezimakethe,okuseleyo kwimakethi,kusalela kwemakethe,isalela yemakethe,mašalela a mmaraka,pheteledi/Lefitiso la mmaraka,masalla a mmaraka,sapuḽasi dza maraga,nsalo
market system,markstelsel,uhlelo lwezimakethe,inkqubo yemakethi,luhlelo lwemakethe,irherho lemakethe,peakanyo ya mmaraka,tsamaiso ya mmaraka,mokgwa wa tshebetso wa mmaraka,sisiṱeme ya maraga,sisiteme ya makete
marketing boards,bemarkingsrade,amabhodi ezokumaketha,iibhodi zokumaketha,emabhodi etimakethe,amabhodi wokumaketha,diboto tša papatšo,makgotlataolo/diboto tsa mmaraka,boto tsa Mmaraka,bodo dza makwevho,tibodo ta maxaviselo
market-orientated supply-side policies,markgerigte aanbodkantbeleid,izinqubomgomo ngasohlangothini lokuphakelwa kwezidingo ezihambisana nezimakethe,iipolisi zecala lokufumanisa ezisekelwe kwimakethi,imigomo yeluhlangotsi lwekufaka lemiselwe imakethe,imithethokambiso yethengisopahla emakethe,dipholisi tšeo lehlakore la kabo leo le tswalanywago le mmaraka,dipholisi tsa mmaraka tsa letlhakore la theleso,maano a hlakore la phepelo a sekametseng mmarakeng,phoḽisi dza u,milawu ya tlhelo ra mphakelo leyi kongomisiweke eka makete
mark-up,marge,okufakwe ngaphezulu,umlinganiselo wenzuzo,kwengeta inzuzo,inzuzo ephasi yentengisopahla,koketšo ya mašeleng godimo ga direkišwa,tlhatloso ya molagare wa polelo,nyollo ya ditheko,makapu,mfungho/Mpimo
Marshall-Lerner condition,Marshall-Lerner-voorwaarde,umbandela kaMarshall-Lerner,imeko ye-Marshall-Lerner,simo se-Marshall-Lerner,ubujamo bokuhlelwa ngomumo kweempahla,peelano ya Marshall-Lerner,maemo a Marshall-learner,maemo a Marshall-Lerner,nzulele ya Marshall-Lerner,xipimelo xa Marshall-Lerner
material goods,materiële goedere,izimpahla eziphathekayo,impahla ephathekayo,imikhicito lephatsekako,iimpahla eziphathekako,thoto,dithoto tsa matheriale,thepa e tshwarehang,thundu nga ṋama,nhundzu
material standard of living,materiële lewenstandaard,isimo sokuphila esincike ezintweni,umgangatho wokuphila onezinto eziphathekayo,lizinga leliphatsekako lemphilo,izinga lokuphila eliyame epahleni,boemo bja lephelo la ditlabakelo,seelo sa go itshela se se ikaegileng ka dithoto,boemo ba bophelo ba nnete,tshikalo tsha vhutshilo na ndaka (thundu),mpimo wa ku hanya ku ya hi nhundzu
maturity transformation,termyntransformasie,inguquko yokuvuthwa,utshintsho lokuvuthwa,ingucuko yekuvutfwa,ukutjhugululwa kwesikhathi sokuphela ukusebenza,phethogo ya bogolo,phetolo ya nako e e beetsweng poloko,phetolo ya nako e baletsweng poloko,u shandula mbibvelo,ku cinca ka ku vupfa
maximax,maksimaks,isu le-maximax,inkqubo-qhinga yokukhetha ipolisi elenyusa inzuzo / I-maximax,lisu le-maximax,iqhinga le-maximax,maximax,maximax,maximax,ṱhakhamedzo,magzimakisi
maximin,maksimin,isu le-maximin,inkqubo-qhinga yokukhetha ipolisi elehlisa ilahleko / I-maximax,lisu le-maximin,iqhinga le-maximin,maximin,maximin,maximin,thinyakhombo,magzimini
maximum price,maksimum prys,inani eliphezulu kakhulu,intengo eyincopho,intsengo lesetulu,intengo engeqiwako,thekokgolo,tlhotlhwa e kgolo go gaisa,theko e ka hodimodimo,tshiuludza tsha mutengo,ntsengo wa makizimamu
mean (or arithmetic mean),gemiddelde (of rekenkundige gemiddelde),i-avareji,umlinganiselo (okanye umlinganiselo wezibalo),i-Min (Imin yetibalo),imini (nanyana imini yeembalo),gare,palogare (ya dipalo),palohare (ya dipalo),,mini
means of exchange,ruilmiddel,indlela yokushintshisana,iindlela zoshintshiselwano,tindlela tekuntjintjiselana,itjhintjhiselwano,mokgwa wa papatšo,mokgwa wa kananyo,mokgwa wa phapanyetsano,tshiga tsha thengisedzano,xitirhisiwa xa ncicano
means of payment,betaalmiddel,indlela yokukhokha,iindlela zokuhlawula,tindlela tekubhadala,itjhintjhiselwano,mokgwa wa tefo,mokgwa wa tuelo,mokgwa wa tefo,tshiga tsha mbadelano,xitirhisiwa xa hakelo
means-tested benefits,middelegetoetste voordele,imihlomulo yemali engenayo noma yezimpahla,iingenelo ezihlolwe ngoko kukhoyo,imihlomulo levivinywa tindlela,iinzuzo eziyame emnothweni,dikholo tše hlahlobilwego tša bokgoni,dipoelo tsa mekgwa e e lekotsweng,menyetla e tshehetswang ke bokgoni,mbuyelo ndangwangamuholo,mimbuyelo leyi ku kamberiweke switirhisiwa
median,mediaan,okuphakathi naphakathi,imidiyeni,imidiyane,imidiyeni,molagare,palogare,palo e bohareng,mediyeni,xa le xikarhi
median-voter model,mediaankiesersmodel,indlela yomvoti ophakathi nendawo,umzekelo womvoteli mediyeni,imodeli yevoti yemidiyane,umfuziselo womvowudi ophakathi,motlolo wa mobouta-gare,sekai sa motlhophi wa palogare,mokgwa wa Mokgethi wa nomorohare,,xikombiso xa muvhoti wa le xikarhi
medium of exchange,ruilmiddel,okokushintshisana,uhlobo lotshintshiselwano,indlela yekutsenga,itjhintjhiselwano,tsela ya papatšo,sedirwa sa kananyo,mokgwa wa phapanyetsano,tshiga tsha thengisedzano,xitirhisiwa xa ncicano
menu costs of inflation,menukoste van inflasie,izindleko zamanani noma amalebuli,iindleko zemenyu zokunyuka kwamaxabiso,luhla lwetindleko tekwehla kwemandla emali,iindleko zebhebhedlho-ntengo ezirheliweko,lenaneotshenyegelo la infleišene,ditshenyegelo tsa infoleišene tsa phetolo ya ditlotlhwa,ditefo tsa infleishene ho menyu,tshinyalelo (u ḓurelwa) dza mushandululo,mixavo leyi fambelanaka na ku va ku cinciwa mavito kumbe ku tlakuka ka mixavo
merger,samesmelting,ukuhlangana,intlanganisela,kwenta munye,ihlanganisela,tlhakantšho,kopano,kopanyo/Kopano,medzha,nkatsano wa tikhampahani
merit goods,merietegoedere,izimpahla ezixhaswayo,iimpahla ezisemngangathweni wokuxhaswa,imikhicito yemalengiso,iimpahla ezikarisako,dithoto tša bokgabane,dithoto tse di kgethegileng,thepa ya maemo a ikgethang,zwibvedzwa zwa merithi,nhundzu ya mahala
M-form (multi-divisional form) of corporate organisation,M-vorm (multi-afdelingvorm) van korporatiewe organisasie,ukwahlukahlukaniswa ngezigaba kwenkampani,uhlobo lokuba namacandelo amaninzi lolungelelwano lweshishini,imikhakha leminyenti yenhlangano yenkopolo,ihlangano yehlanganisela enamaziko amanengi,foromo-M (foromo yeo e arotšwego ka bontši) ya mokgahlo wo o tlemaganego,popego ya form ( popego ya dikarolwana di le dintsi) ya khamphani,sebopeho sa dikhamphani sa M (mofuta wa dikoto tse ngata),fomo ya M ya madzangano a khophoreithi,nhlangano wa mabindzu wa M-form
microeconomics,mikro-ekonomie,ezomnotho ngokubanzi,uqoqosho oluncinane,iminotfo lemincane,imakhro-ikhonomiksi,thutamananeomannyane a ekonomi,thuto ya ikonomi ne kgolo,ekonomi ya dintlha,ḓivhaikonomi ya maikhiro,vunkotantsongo
minimum efficient scale,minimumdoeltreffendheidskaal,izinga eliphansi lokukhiqiza kahle,isikali esisebenza kakuhle esincinane,sikalo lesinelikhono leliphansi,isikali esincani esinekghono,sekala sa fasefase sa bokgoni,sekala sa bonnye ba katlego,sekala sa bohlwahlwa ba bonyane,zwikalo zwa kushumele kusa lozwi,mpimo wa minimamu lowu kotekaka
minimum price,minimum prys,intengo ephansi kakhulu,elona xabiso liphantsi,intsengo lephansi,intengo encani,theko ya fasana,tlhotlhwa e nnye,theko ya bonyane,mutengo wa fhasifhasi,ntsengontsongo
minimum reserve ratio,minimumreserweverhouding,ireshiyo yokugciniwe okuncane,owona mlinganiselo uphantsi wovimba,ireshiyo lephansi lesebhange,iretjhiyo encani yokubambisa,kabo ye e bolokilwego ya botlalonyane,tefo e e kwa tlase,reshio ya polokelo ya bonyane,reshio ya diphosithi dza fhasifhasi,mpimanyiso wa leswi nga vekiwa wa minimamu
minimum wage,minimum loon,iholo eliphansi ngokomthetho,owona mvuzo uphantsi,umholo lophansi,umrholo omncani,mogolo wa fase,ikonomi-tlhakanelwa ya taolo,moputso wa bonyane,muholo wa fhasifhasi,muholontsongo
mixed command economy,gemengde bevelsekonomie,umnotho olawulwa wuhulumeni nezimakethe ngokuhlanganyela,uqoqosho olungumxube,umnotfo wekulawula lohlangene,umnotho ovangiweko,ekonomi ye e hlakantšwego,tsamaiso ya ikonomi e e tlhakanetsweng,ekonomi ya taolo e kopaneng,ikonomi ya ndaela,ikhonomi ya swileriso swo katsana
mixed economic system,gemengde ekonomiese stelsel,uhlelo lwezomnotho oluxubile,inkqubo yoqoqosho exutyiweyo,luhlelo lwemnotfo loluhlangene,irherho lomnotho elivangiweko,lenaneo la ekonomi ye e hlakantšwego,ikonomi-tlhakanelwa,mokgwatshebetso wa moruo o kopaneng,sisiṱeme ya Ikonomi yo vanganaho,sisiteme ya swa ikhonomi yo katsana
